Symbol,Description,premium_code,Quandlcode
LMCA,LIBERTY MEDIA SRS A,EOD/LMCA,WIKI/LMCA
LVNTA,LIBERTY VNTRS SRS A,EOD/LVNTA,WIKI/LVNTA
LLTC,LINEAR TECHNOLOGY,EOD/LLTC,WIKI/LLTC
MAR,MARRIOT INT CL A,EOD/MAR,WIKI/MAR
MAT,MATTEL INC,EOD/MAT,WIKI/MAT
MU,MICRON TECHNOLOGY,EOD/MU,WIKI/MU
MSFT,MICROSOFT CORP,EOD/MSFT,WIKI/MSFT
MDLZ,MONDELEZ INTL CMN A,EOD/MDLZ,WIKI/MDLZ
MNST,MONSTER BEVERAGE CP,EOD/MNST,WIKI/MNST
MYL,MYLAN NV ORD SHS,EOD/MYL,WIKI/MYL
NTAP,NETAPP INC.,EOD/NTAP,WIKI/NTAP
NFLX,NETFLIX INC.,EOD/NFLX,WIKI/NFLX
NVDA,NVIDIA CORPORATION,EOD/NVDA,WIKI/NVDA
USDOLLAR,Federal funds effective rate,,FRED/DTB3
