Dates;Destination;Group;Period;Price;Regio;Status;min_price
['01.05.2020', '12.05.2020'];Hongkong;fernreisen;2020-05;339,00 €;Asia;06.10.2019;338,00 €
['09.12.2019', '16.12.2019'];Hongkong;fernreisen;2019-12;338,00 €;Asia;07.10.2019;338,00 €
['01.05.2020', '12.05.2020'];Hongkong;warme-reiseziele;2020-05;339,00 €;Asia;07.10.2019;338,00 €
['04.12.2019', '12.12.2019'];Hongkong;fernreisen;2019-12;340,00 €;Asia;09.10.2019;338,00 €
['06.05.2020', '13.05.2020'];Hongkong;warme-reiseziele;2020-05;340,00 €;Asia;09.10.2019;338,00 €
['21.02.2020', '01.03.2020'];Hongkong;fernreisen;2020-02;340,00 €;Asia;18.10.2019;338,00 €
['03.12.2019', '12.12.2019'];Hongkong;fernreisen;2019-12;340,00 €;Asia;19.10.2019;338,00 €
['16.03.2020', '03.04.2020'];Hongkong;fernreisen;2020-03;340 €;Asia;2019-10-20;338,00 €
['01.12.2019', '08.12.2019'];Hongkong;fernreisen;2019-12;340 €;Asia;2019-10-22;338,00 €
['20.03.2020', '11.04.2020'];Hongkong;fernreisen;2020-03;340 €;Asia;2019-10-26;338,00 €
['21.02.2020', '02.03.2020'];Hongkong;fernreisen;2020-02;340 €;Asia;2019-10-26;338,00 €
['10.02.2020', '08.03.2020'];Kuala Lumpur;fernreisen;2020-02;388,00 €;Asia;04.10.2019;387,00 €
['06.03.2020', '22.03.2020'];Kuala Lumpur;fernreisen;2020-03;388,00 €;Asia;05.10.2019;387,00 €
['06.03.2020', '29.03.2020'];Kuala Lumpur;fernreisen;2020-03;388,00 €;Asia;06.10.2019;387,00 €
['22.04.2020', '29.04.2020'];Kuala Lumpur;fernreisen;2020-04;387,00 €;Asia;07.10.2019;387,00 €
['06.03.2020', '29.03.2020'];Kuala Lumpur;fernreisen;2020-03;388,00 €;Asia;09.10.2019;387,00 €
['02.12.2019', '15.12.2019'];Kuala Lumpur;fernreisen;2019-12;389,00 €;Asia;18.10.2019;387,00 €
