Destination;Dates;Price;Group;Period;Status;Regio;min_price
Calgary;['11.10.2019', '20.10.2019'];473,00 €;last-minute;2019-10;05.10.2019;Canada;329,00 €
Calgary;['23.08.2020', '31.08.2020'];612,00 €;sommerferien;2020-08;06.10.2019;Canada;329,00 €
Calgary;['23.08.2020', '31.08.2020'];636,00 €;sommerferien;2020-08;07.10.2019;Canada;329,00 €
Calgary;['23.08.2020', '31.08.2020'];612,00 €;sommerferien;2020-08;09.10.2019;Canada;329,00 €
Charleston SC;['08.10.2019', '22.10.2019'];433,00 €;last-minute;2019-10;07.10.2019;USA;433,00 €
Charleston-SC;['08.10.2019', '22.10.2019'];433,00 €;last-minute;2019-10;04.10.2019;USA;433,00 €
Charleston-SC;['08.10.2019', '22.10.2019'];433,00 €;last-minute;2019-10;05.10.2019;USA;433,00 €
Charleston-SC;['08.10.2019', '22.10.2019'];433,00 €;last-minute;2019-10;06.10.2019;USA;433,00 €
Charlotte;['21.02.2020', '29.02.2020'];391,00 €;fernreisen;2020-02;07.10.2019;USA;391,00 €
Charlotte;['21.02.2020', '29.02.2020'];391,00 €;fernreisen;2020-02;09.10.2019;USA;391,00 €
Cincinnati;['18.10.2019', '04.11.2019'];482,00 €;last-minute;2019-10;04.10.2019;USA;482,00 €
Cincinnati;['18.10.2019', '04.11.2019'];482,00 €;last-minute;2019-10;05.10.2019;USA;482,00 €
Cincinnati;['18.10.2019', '04.11.2019'];559,00 €;last-minute;2019-10;06.10.2019;USA;482,00 €
Cincinnati;['18.10.2019', '04.11.2019'];559,00 €;last-minute;2019-10;07.10.2019;USA;482,00 €
Cincinnati;['22.10.2019', '01.11.2019'];562,00 €;last-minute;2019-10;09.10.2019;USA;482,00 €
Dalaman;['08.05.2020', '16.05.2020'];151,00 €;warme-reiseziele;2020-05;04.10.2019;MENA;151,00 €
Dalaman;['14.10.2019', '26.10.2019'];177,00 €;last-minute;2019-10;04.10.2019;MENA;151,00 €
Dalaman;['08.05.2020', '16.05.2020'];151,00 €;warme-reiseziele;2020-05;05.10.2019;MENA;151,00 €
Dalaman;['18.10.2019', '26.10.2019'];177,00 €;last-minute;2019-10;05.10.2019;MENA;151,00 €
Dalaman;['08.05.2020', '16.05.2020'];151,00 €;warme-reiseziele;2020-05;06.10.2019;MENA;151,00 €
Dalaman;['18.10.2019', '26.10.2019'];179,00 €;last-minute;2019-10;06.10.2019;MENA;151,00 €
Dalaman;['08.05.2020', '16.05.2020'];151,00 €;warme-reiseziele;2020-05;07.10.2019;MENA;151,00 €
Dalaman;['18.10.2019', '26.10.2019'];178,00 €;last-minute;2019-10;07.10.2019;MENA;151,00 €
Dalaman;['08.05.2020', '16.05.2020'];151,00 €;warme-reiseziele;2020-05;09.10.2019;MENA;151,00 €
Dallas;['16.04.2020', '23.04.2020'];324,00 €;fernreisen;2020-04;04.10.2019;USA;324,00 €
Dallas;['16.04.2020', '23.04.2020'];324,00 €;fernreisen;2020-04;05.10.2019;USA;324,00 €
Dallas;['21.04.2020', '28.04.2020'];326,00 €;fernreisen;2020-04;06.10.2019;USA;324,00 €
