Date,Open,High,Low,Last,Change,Settle,Volume,Prev. Day Open Interest
2010-06-18,1116.0,1119.0,1113.0,,,1118.75,469613.0,924038.0
2010-06-17,1114.0,1122.5,1105.5,,,1116.25,589440.0,1085763.0
2010-06-16,1113.5,1119.0,1104.25,,,1114.0,589440.0,1085763.0
2010-06-15,1090.25,1115.75,1088.5,,,1113.5,796631.0,1223025.0
2010-06-14,1090.5,1106.0,1088.75,,,1090.5,887313.0,1482925.0
2010-06-11,1084.0,1092.25,1074.5,,,1089.25,1182031.0,1825074.0
2010-06-10,1055.0,1087.75,1052.25,,,1083.75,2421258.0,2062621.0
2010-06-09,1059.0,1077.75,1051.25,,,1055.5,2970468.0,2561641.0
2010-06-08,1048.25,1063.25,1041.25,,,1059.25,3401030.0,2736063.0
2010-06-07,1064.0,1070.75,1047.0,,,1048.0,2390986.0,2771249.0
2010-06-04,1104.0,1107.75,1059.25,,,1066.0,3211493.0,2750025.0
2010-06-03,1097.0,1105.25,1090.75,,,1103.5,2033254.0,2657930.0
2010-06-02,1069.25,1098.25,1067.25,,,1096.75,2214865.0,2694730.0
2010-06-01,1091.0,1094.5,1068.5,,,1069.5,2593945.0,2713752.0
2010-05-31,1088.5,1096.0,1085.75,,,1090.75,2368730.0,2642268.0
2010-05-28,1100.25,1106.75,1083.25,,,1088.5,2367380.0,2640329.0
2010-05-27,1060.0,1103.0,1055.5,,,1101.0,2613372.0,2645964.0
2010-05-26,1072.5,1089.5,1060.5,,,1061.25,2929237.0,2692123.0
2010-05-25,1069.5,1074.75,1036.75,,,1073.0,3433912.0,2656785.0
2010-05-24,1085.5,1088.75,1070.0,,,1071.0,2231741.0,2651323.0
2010-05-21,1069.25,1088.75,1051.25,,,1084.5,4024607.0,2604744.0
2010-05-20,1110.0,1116.5,1067.25,,,1070.0,4378875.0,2728055.0
2010-05-19,1118.0,1122.75,1098.75,,,1110.0,3585852.0,2607620.0
2010-05-18,1135.5,1147.5,1115.25,,,1118.75,3092769.0,2584389.0
2010-05-17,1133.75,1140.25,1112.75,,,1134.5,3052733.0,2570497.0
2010-05-14,1155.5,1159.5,1123.75,,,1135.25,2979512.0,2589750.0
2010-05-13,1169.0,1174.75,1153.75,,,1156.75,1963587.0,2576551.0
2010-05-12,1151.75,1171.25,1141.0,,,1169.75,2109839.0,2595338.0
2010-05-11,1156.0,1169.0,1140.5,,,1152.25,2663633.0,2686701.0
2010-05-10,1125.25,1162.0,1121.5,,,1156.5,3640288.0,2646663.0
2010-05-07,1123.75,1135.5,1090.75,,,1107.0,5013862.0,2647315.0
2010-05-06,1163.75,1168.75,1056.0,,,1122.5,5675645.0,2688328.0
2010-05-05,1171.75,1175.0,1154.75,,,1164.0,3057926.0,2591435.0
2010-05-04,1198.25,1199.75,1164.25,,,1172.5,3553338.0,2537709.0
2010-05-03,1184.5,1202.0,1183.75,,,1198.5,1797282.0,2546897.0
2010-04-30,1205.5,1208.0,1182.75,,,1183.5,2897399.0,2506087.0
2010-04-29,1190.0,1206.25,1188.0,,,1205.25,1980761.0,2512231.0
2010-04-28,1181.5,1192.0,1176.75,,,1190.0,2857714.0,2534454.0
2010-04-27,1207.75,1210.0,1177.5,,,1181.0,3590721.0,2551935.0
2010-04-26,1211.25,1216.75,1207.5,,,1208.25,1624454.0,2504414.0
2010-04-23,1201.25,1213.75,1197.5,,,1212.25,1856101.0,2505018.0
2010-04-22,1198.5,1207.0,1186.25,,,1201.75,2668931.0,2523968.0
