Date,Open,High,Low,Last,Change,Settle,Volume,Prev. Day Open Interest
2013-09-20,1724.0,1727.25,1721.25,,,1723.89,66089.0,806829.0
2013-09-19,1725.0,1733.25,1720.5,,,1724.25,407019.0,897529.0
2013-09-18,1706.0,1729.75,1700.0,,,1724.5,666703.0,1161839.0
2013-09-17,1696.25,1706.75,1694.75,,,1705.0,727285.0,1530130.0
2013-09-16,1698.5,1710.5,1694.75,,,1698.0,1005283.0,1935525.0
2013-09-13,1684.75,1690.5,1680.5,,,1688.5,756480.0,2261091.0
2013-09-12,1689.75,1690.0,1681.25,,,1685.0,1354297.0,2556802.0
2013-09-11,1682.25,1690.5,1677.75,,,1688.75,1843965.0,2735919.0
2013-09-10,1671.0,1683.25,1669.0,,,1682.5,1849907.0,2799514.0
2013-09-09,1652.0,1671.75,1652.0,,,1669.0,1481869.0,2835722.0
2013-09-06,1652.0,1664.0,1638.75,,,1653.5,2564968.0,2843129.0
2013-09-05,1654.75,1658.25,1650.5,,,1653.0,1254324.0,2877431.0
2013-09-04,1638.0,1655.25,1635.0,,,1653.5,1627760.0,2880255.0
2013-09-03,1640.25,1650.0,1630.75,,,1639.0,2317319.0,2867361.0
2013-08-30,1639.0,1645.0,1625.5,,,1631.25,1932571.0,2904005.0
2013-08-29,1630.5,1644.75,1627.75,,,1636.75,1743634.0,2921904.0
2013-08-28,1628.25,1639.25,1624.75,,,1632.25,1647202.0,2919217.0
2013-08-27,1654.5,1655.5,1626.25,,,1628.25,2249176.0,2887703.0
2013-08-26,1660.75,1667.5,1653.25,,,1654.25,1213360.0,2882936.0
2013-08-23,1655.5,1662.75,1650.5,,,1661.5,1306654.0,2899118.0
2013-08-22,1635.0,1657.75,1631.5,,,1654.75,1556145.0,2904902.0
2013-08-21,1651.0,1654.75,1634.0,,,1636.5,2115241.0,2863444.0
2013-08-20,1644.25,1656.75,1641.0,,,1650.5,1581959.0,2873524.0
2013-08-19,1651.0,1657.0,1642.25,,,1645.0,1468155.0,2845002.0
2013-08-16,1654.75,1662.0,1649.5,,,1651.0,3475286.0,2841700.0
2013-08-15,1680.5,1682.0,1654.25,,,1655.75,2399303.0,2818161.0
2013-08-14,1691.5,1693.25,1681.0,,,1682.0,1504310.0,2826195.0
2013-08-13,1688.0,1694.5,1679.25,,,1690.75,1604462.0,2818295.0
2013-08-12,1685.0,1688.5,1675.25,,,1687.0,1250683.0,2802068.0
2013-08-09,1694.0,1696.25,1682.5,,,1686.25,1662642.0,2799117.0
2013-08-08,1688.75,1697.0,1684.5,,,1693.75,1510694.0,2791337.0
2013-08-07,1692.75,1693.5,1680.5,,,1688.25,1380213.0,2798900.0
2013-08-06,1701.25,1703.5,1688.75,,,1694.0,1273260.0,2793511.0
2013-08-05,1702.75,1705.0,1698.75,,,1702.5,856396.0,2808697.0
2013-08-02,1702.25,1705.0,1695.75,,,1704.0,1212563.0,2836516.0
2013-08-01,1685.5,1703.75,1684.5,,,1700.25,1517089.0,2814495.0
2013-07-31,1684.0,1694.0,1680.25,,,1680.5,1979509.0,2799466.0
2013-07-30,1682.25,1688.5,1677.25,,,1684.75,1318394.0,2793878.0
2013-07-29,1686.5,1688.0,1676.5,,,1682.5,1100528.0,2797316.0
2013-07-26,1685.75,1689.0,1670.5,,,1686.5,1390749.0,2797830.0
2013-07-25,1684.0,1686.5,1671.75,,,1684.0,1422764.0,2769228.0
2013-07-24,1689.5,1695.25,1677.25,,,1683.75,1505638.0,2778043.0
2013-07-23,1690.5,1695.5,1686.0,,,1688.25,979433.0,2774329.0
