Date,Open,High,Low,Last,Change,Settle,Volume,Prev. Day Open Interest
2011-03-18,1272.25,1293.25,1266.25,,,1291.0,40953.0,1141824.0
2011-03-17,1259.75,1279.25,1246.5,,,1273.75,194433.0,1241035.0
2011-03-16,1280.0,1288.25,1248.0,,,1258.75,798954.0,1241035.0
2011-03-15,1295.5,1298.0,1256.0,,,1280.0,1008182.0,1458735.0
2011-03-14,1302.25,1305.75,1286.0,,,1295.5,817826.0,1737831.0
2011-03-11,1293.75,1308.75,1283.0,,,1306.0,1125367.0,1974238.0
2011-03-10,1315.75,1317.25,1292.75,,,1294.25,2605190.0,2239543.0
2011-03-09,1319.75,1325.0,1311.5,,,1315.5,2196273.0,2614534.0
2011-03-08,1308.75,1325.75,1306.0,,,1320.0,2209200.0,2798341.0
2011-03-07,1320.25,1327.25,1302.75,,,1309.0,2702700.0,2897776.0
2011-03-04,1329.75,1334.5,1311.25,,,1320.25,2944659.0,2894251.0
2011-03-03,1306.25,1332.0,1305.0,,,1329.75,2361733.0,2887515.0
2011-03-02,1301.25,1313.75,1296.25,,,1305.75,2680941.0,2915339.0
2011-03-01,1326.5,1336.5,1300.75,,,1301.0,3054741.0,2898347.0
2011-02-28,1318.25,1329.0,1313.0,,,1326.0,1941581.0,2852603.0
2011-02-25,1302.5,1320.0,1301.5,,,1318.75,1827557.0,2871412.0
2011-02-24,1305.75,1310.75,1292.5,,,1302.75,2903883.0,2875305.0
2011-02-23,1314.0,1320.5,1297.5,,,1305.5,3075485.0,2910101.0
2011-02-22,1328.5,1334.5,1310.25,,,1314.5,3257861.0,2898256.0
2011-02-21,1342.25,1342.5,1329.0,,,1330.0,1516091.0,2854700.0
2011-02-18,1337.75,1343.0,1335.0,,,1342.5,1516091.0,2863417.0
2011-02-17,1333.0,1340.0,1328.5,,,1337.75,1677669.0,2849648.0
2011-02-16,1326.25,1336.0,1325.75,,,1333.0,1801087.0,2845287.0
2011-02-15,1328.0,1329.25,1322.25,,,1326.25,1457415.0,2814250.0
2011-02-14,1326.0,1331.25,1324.5,,,1327.75,1171814.0,2809512.0
2011-02-11,1318.25,1328.75,1310.0,,,1327.25,1881031.0,2799214.0
2011-02-10,1318.5,1320.5,1308.5,,,1318.75,2055532.0,2799077.0
2011-02-09,1321.5,1322.0,1311.75,,,1319.25,1825859.0,2780883.0
2011-02-08,1315.0,1322.25,1313.0,,,1321.75,1453914.0,2754984.0
2011-02-07,1307.25,1320.0,1306.0,,,1315.75,1501112.0,2730158.0
2011-02-04,1303.25,1308.5,1298.0,,,1307.25,1585618.0,2706640.0
2011-02-03,1300.25,1305.75,1291.5,,,1303.25,1828391.0,2692805.0
2011-02-02,1302.25,1305.5,1298.0,,,1300.0,1396167.0,2714368.0
2011-02-01,1282.5,1306.0,1281.25,,,1302.75,2089240.0,2690241.0
2011-01-31,1269.5,1283.75,1262.25,,,1282.5,2314420.0,2666224.0
2011-01-28,1295.25,1299.5,1270.5,,,1271.5,3238629.0,2694729.0
2011-01-27,1293.75,1298.25,1289.25,,,1295.75,1554851.0,2634255.0
2011-01-26,1287.25,1296.75,1286.0,,,1293.5,1609255.0,2646887.0
2011-01-25,1288.5,1291.75,1277.0,,,1287.5,2360267.0,2635938.0
2011-01-24,1279.5,1289.75,1277.75,,,1288.5,1635794.0,2634978.0
2011-01-21,1276.0,1288.0,1273.25,,,1279.75,2012431.0,2594871.0
2011-01-20,1279.25,1281.5,1267.5,,,1276.25,2534106.0,2614326.0
2011-01-19,1294.5,1296.25,1275.0,,,1278.5,2322868.0,2586802.0
2011-01-18,1285.5,1295.0,1284.0,,,1294.75,1673094.0,2563543.0
2011-01-17,1289.5,1291.5,1282.75,,,1285.25,1631162.0,2527355.0
2011-01-14,1281.25,1290.0,1274.25,,,1289.5,1631162.0,2530027.0
2011-01-13,1283.25,1284.5,1276.25,,,1281.25,1671242.0,2531081.0
2011-01-12,1270.0,1284.25,1269.25,,,1283.5,1604117.0,2557791.0
2011-01-11,1265.5,1273.75,1264.0,,,1270.5,1662412.0,2527804.0
2011-01-10,1266.25,1268.0,1258.0,,,1265.5,1876415.0,2507962.0
2011-01-07,1269.75,1274.0,1257.75,,,1267.5,2175596.0,2505895.0
2011-01-06,1271.75,1277.0,1266.25,,,1270.25,1614397.0,2495267.0
2011-01-05,1265.5,1273.75,1255.75,,,1271.75,1797267.0,2510775.0
2011-01-04,1264.75,1270.0,1258.25,,,1265.25,1778621.0,2495528.0
2011-01-03,1256.0,1272.5,1255.25,,,1265.25,1591034.0,2500721.0
2010-12-31,1254.25,1257.75,1249.5,,,1253.0,667046.0,2478376.0
2010-12-30,1255.75,1257.5,1251.5,,,1254.5,713588.0,2469321.0
2010-12-29,1254.0,1258.5,1253.25,,,1255.75,588441.0,2475165.0
2010-12-28,1253.5,1256.5,1251.5,,,1254.0,553798.0,2477060.0
2010-12-27,1249.5,1254.25,1245.5,,,1253.25,587701.0,2458879.0
2010-12-23,1254.5,1255.75,1249.25,,,1253.0,594048.0,2437477.0
2010-12-22,1250.0,1255.0,1249.0,,,1254.5,664281.0,2433418.0
2010-12-21,1241.0,1251.25,1240.75,,,1250.75,943293.0,2433418.0
2010-12-20,1240.0,1245.75,1234.0,,,1241.25,1145804.0,2422001.0
2010-12-17,1238.5,1241.0,1234.5,,,1238.5,1340620.0,2392696.0
2010-12-16,1232.0,1239.75,1227.5,,,1238.5,1738245.0,2397297.0
2010-12-15,1236.75,1239.5,1228.75,,,1232.0,2114241.0,2245053.0
2010-12-14,1236.0,1242.25,1232.75,,,1236.75,2008662.0,1991813.0
2010-12-13,1237.5,1242.0,1232.0,,,1236.25,1824807.0,1594522.0
2010-12-10,1227.75,1236.25,1226.75,,,1236.0,1450096.0,1279636.0
2010-12-09,1223.25,1233.0,1221.25,,,1228.0,1073405.0,871881.0
2010-12-08,1217.5,1224.0,1212.5,,,1223.75,299447.0,458617.0
2010-12-07,1217.25,1229.75,1214.25,,,1218.25,135446.0,235288.0
2010-12-06,1218.5,1221.25,1211.5,,,1217.0,61676.0,167955.0
2010-12-03,1217.5,1222.25,1208.0,,,1218.5,41853.0,124614.0
2010-12-02,1198.75,1218.0,1197.0,,,1217.5,20411.0,107462.0
2010-12-01,1172.5,1202.5,1171.5,,,1199.5,26732.0,98488.0
2010-11-30,1180.75,1182.75,1167.75,,,1174.5,10578.0,80630.0
2010-11-29,1184.75,1188.25,1167.25,,,1181.5,8691.0,75305.0
2010-11-26,1193.5,1193.5,1178.0,,,1178.0,2350.0,69017.0
