Date,Open,High,Low,Last,Change,Settle,Volume,Prev. Day Open Interest
2011-06-17,1269.5,1282.5,1264.25,,,1280.75,33628.0,978781.0
2011-06-16,1266.25,1274.5,1258.0,,,1269.0,165520.0,1120694.0
2011-06-15,1288.75,1289.0,1261.25,,,1265.5,757016.0,1120694.0
2011-06-14,1272.0,1292.5,1270.5,,,1290.0,1067759.0,1300503.0
2011-06-13,1270.0,1277.25,1265.0,,,1271.5,798749.0,1728294.0
2011-06-10,1287.75,1288.75,1267.0,,,1269.25,1453530.0,2015364.0
2011-06-09,1277.75,1294.0,1275.25,,,1287.5,1725026.0,2296072.0
2011-06-08,1285.0,1287.75,1276.25,,,1277.0,2695851.0,2671828.0
2011-06-07,1285.25,1295.5,1282.5,,,1284.75,2069553.0,2803593.0
2011-06-06,1298.75,1299.0,1283.25,,,1285.0,2185300.0,2889057.0
2011-06-03,1312.25,1313.5,1294.5,,,1296.25,2677734.0,2930588.0
2011-06-02,1313.25,1317.75,1304.25,,,1312.5,2433178.0,2815208.0
2011-06-01,1344.75,1347.75,1311.25,,,1312.0,2681845.0,2835132.0
2011-05-31,1331.0,1345.75,1330.75,,,1344.0,1927228.0,2815719.0
2011-05-30,1329.75,1333.0,1328.25,,,1330.5,1393298.0,2775088.0
2011-05-27,1326.5,1333.75,1324.5,,,1330.0,1393298.0,2760252.0
2011-05-26,1316.5,1327.5,1312.5,,,1326.5,2286732.0,2762061.0
2011-05-25,1313.0,1324.5,1302.25,,,1316.5,2100699.0,2780614.0
2011-05-24,1314.75,1322.5,1311.75,,,1313.5,1860601.0,2761199.0
2011-05-23,1326.0,1327.0,1310.75,,,1315.25,2054242.0,2752316.0
2011-05-20,1341.5,1344.0,1327.0,,,1327.75,2247208.0,2719462.0
2011-05-19,1338.25,1345.5,1334.5,,,1341.75,1825276.0,2706744.0
2011-05-18,1326.25,1340.5,1324.5,,,1338.5,1612220.0,2695103.0
2011-05-17,1325.25,1332.0,1316.0,,,1325.25,2292146.0,2688008.0
2011-05-16,1332.0,1341.25,1324.75,,,1325.25,2177046.0,2666484.0
2011-05-13,1347.25,1352.5,1330.5,,,1334.0,2235430.0,2650027.0
2011-05-12,1339.25,1348.75,1328.75,,,1347.75,2254909.0,2647161.0
2011-05-11,1353.75,1358.25,1333.0,,,1338.75,2190906.0,2664963.0
2011-05-10,1342.5,1356.5,1339.0,,,1353.75,1571216.0,2680756.0
2011-05-09,1337.25,1346.25,1334.5,,,1342.5,1666599.0,2677123.0
2011-05-06,1334.25,1351.75,1331.75,,,1334.5,2673077.0,2751590.0
2011-05-05,1343.25,1348.75,1325.25,,,1335.0,2915006.0,2758798.0
2011-05-04,1351.75,1355.0,1337.5,,,1343.0,2382666.0,2790443.0
2011-05-03,1357.75,1358.5,1345.75,,,1352.0,1674060.0,2794195.0
2011-05-02,1363.25,1373.5,1354.75,,,1357.75,1707040.0,2742024.0
2011-04-29,1355.0,1363.75,1352.75,,,1359.75,1272342.0,2742628.0
2011-04-28,1351.5,1358.5,1346.75,,,1355.25,1706910.0,2743397.0
2011-04-27,1341.0,1354.25,1340.25,,,1352.0,1386295.0,2751861.0
2011-04-26,1330.75,1346.25,1328.0,,,1340.75,1386038.0,2726416.0
2011-04-25,1330.5,1335.25,1327.25,,,1331.0,599322.0,2693363.0
2011-04-21,1328.5,1337.75,1328.0,,,1331.0,1276072.0,2681863.0
2011-04-20,1308.75,1330.5,1308.5,,,1328.5,1870001.0,2693117.0
2011-04-19,1301.0,1309.5,1294.0,,,1308.5,1528995.0,2693117.0
2011-04-18,1318.25,1318.75,1290.25,,,1301.0,2255340.0,2687640.0
2011-04-15,1310.5,1319.25,1305.75,,,1318.75,1644200.0,2683332.0
2011-04-14,1309.25,1313.25,1298.25,,,1310.75,2027796.0,2690414.0
2011-04-13,1308.25,1318.75,1305.0,,,1309.0,1919662.0,2667514.0
2011-04-12,1320.25,1320.5,1305.25,,,1308.0,2078928.0,2685024.0
2011-04-11,1325.75,1330.25,1317.0,,,1320.0,1527470.0,2695169.0
2011-04-08,1328.5,1335.75,1318.75,,,1323.75,1858868.0,2688459.0
2011-04-07,1329.0,1335.25,1322.25,,,1328.5,2180272.0,2671718.0
2011-04-06,1327.0,1336.5,1326.0,,,1329.0,1656416.0,2665569.0
2011-04-05,1329.75,1334.25,1323.0,,,1327.0,1558287.0,2675137.0
2011-04-04,1327.0,1332.75,1324.5,,,1329.25,1273974.0,2646233.0
2011-04-01,1321.25,1333.75,1320.5,,,1327.75,1660075.0,2635255.0
2011-03-31,1324.5,1325.75,1320.5,,,1321.75,1521964.0,2647743.0
2011-03-30,1316.25,1327.75,1314.75,,,1323.75,1407633.0,2638334.0
2011-03-29,1302.75,1317.75,1300.25,,,1316.25,1549071.0,2650848.0
2011-03-28,1309.25,1315.25,1302.0,,,1302.25,1290490.0,2631428.0
2011-03-25,1304.5,1314.5,1304.0,,,1310.0,1651563.0,2598402.0
2011-03-24,1292.0,1306.75,1289.25,,,1305.25,1833298.0,2603534.0
2011-03-23,1287.75,1296.0,1279.0,,,1292.0,1939892.0,2587522.0
2011-03-22,1292.5,1296.5,1287.5,,,1288.0,1441789.0,2568898.0
2011-03-21,1276.25,1296.25,1274.75,,,1293.0,1488232.0,2553822.0
2011-03-18,1268.5,1287.5,1261.5,,,1274.25,2342198.0,2565944.0
2011-03-17,1254.75,1274.5,1241.25,,,1268.75,2979478.0,2586929.0
2011-03-16,1274.75,1283.5,1243.25,,,1254.0,4540281.0,2518402.0
2011-03-15,1290.5,1293.25,1251.0,,,1275.25,3992352.0,2134386.0
2011-03-14,1298.5,1300.75,1281.0,,,1290.5,2788791.0,1639297.0
2011-03-11,1289.0,1303.75,1278.5,,,1301.25,2185696.0,1310121.0
2011-03-10,1311.0,1312.5,1287.75,,,1289.5,1844627.0,945951.0
2011-03-09,1314.75,1320.0,1306.5,,,1310.5,269929.0,439021.0
2011-03-08,1303.75,1321.0,1301.25,,,1315.25,140172.0,239079.0
2011-03-07,1315.0,1322.0,1298.25,,,1304.25,58934.0,137428.0
2011-03-04,1324.5,1329.5,1306.5,,,1315.5,23611.0,102828.0
2011-03-03,1300.75,1327.0,1300.75,,,1324.75,24845.0,93800.0
2011-03-02,1296.0,1308.75,1291.5,,,1300.75,21409.0,79860.0
2011-03-01,1321.75,1331.25,1296.0,,,1296.0,16143.0,71943.0
2011-02-28,1314.5,1324.0,1308.25,,,1321.0,14859.0,61779.0
2011-02-25,1297.0,1314.75,1296.25,,,1313.75,13047.0,51535.0
2011-02-24,1297.0,1305.75,1287.75,,,1297.75,17578.0,41170.0
2011-02-23,1309.0,1315.25,1293.0,,,1300.5,5670.0,26992.0
2011-02-22,1324.0,1329.5,1305.75,,,1309.5,3414.0,25456.0
2011-02-21,1335.75,1337.5,1324.5,,,1324.75,1651.0,25061.0
2011-02-18,1332.5,1337.75,1330.75,,,1337.5,1651.0,25061.0
2011-02-17,1328.0,1335.25,1324.5,,,1333.0,4186.0,25173.0
2011-02-16,1321.0,1331.0,1321.0,,,1328.0,1329.0,22784.0
2011-02-15,1322.75,1323.5,1317.5,,,1321.5,2222.0,22580.0
2011-02-14,1322.0,1326.25,1320.0,,,1322.75,785.0,21705.0
