Date,Open,High,Low,Last,Change,Settle,Volume,Prev. Day Open Interest
2013-06-21,1590.5,1604.25,1589.5,,,1599.93,100309.0,920012.0
2013-06-20,1627.25,1628.75,1583.75,,,1590.5,639730.0,1065883.0
2013-06-19,1652.5,1655.0,1626.25,,,1629.5,589657.0,1316021.0
2013-06-18,1640.75,1654.5,1638.0,,,1651.0,739664.0,1672843.0
2013-06-17,1624.5,1646.75,1624.0,,,1639.75,848279.0,2042756.0
2013-06-14,1637.75,1640.75,1623.25,,,1624.25,1034966.0,2384610.0
2013-06-13,1610.75,1639.5,1597.5,,,1636.75,4692904.0,2678954.0
2013-06-12,1627.5,1638.25,1609.5,,,1610.0,2597580.0,2850964.0
2013-06-11,1642.0,1642.5,1621.5,,,1627.0,5176948.0,2923220.0
2013-06-10,1636.5,1648.5,1634.5,,,1642.0,1807944.0,2976849.0
2013-06-07,1622.0,1644.0,1618.0,,,1638.5,2371499.0,3045762.0
2013-06-06,1608.5,1624.25,1596.5,,,1622.75,2795168.0,3029729.0
2013-06-05,1629.25,1632.25,1605.5,,,1608.0,2646546.0,3031027.0
2013-06-04,1635.75,1645.75,1621.5,,,1631.25,2137397.0,3086415.0
2013-06-03,1629.5,1639.0,1620.75,,,1636.25,2519490.0,3119039.0
2013-05-31,1653.75,1658.0,1626.25,,,1629.0,2554986.0,3148530.0
2013-05-30,1646.5,1660.75,1641.0,,,1653.5,1773563.0,3153403.0
2013-05-29,1654.25,1656.75,1638.0,,,1647.0,2125994.0,3164925.0
2013-05-28,1650.0,1672.75,1644.25,,,1654.5,4176679.0,3167489.0
2013-05-24,1651.25,1655.25,1634.5,,,1650.5,1948019.0,3188469.0
2013-05-23,1657.5,1659.0,1632.75,,,1650.0,2671915.0,3155043.0
2013-05-22,1665.75,1685.75,1646.5,,,1655.5,2970065.0,3157769.0
2013-05-21,1663.5,1673.25,1660.0,,,1665.5,1693935.0,3146083.0
2013-05-20,1662.5,1670.75,1659.75,,,1664.5,1748809.0,3105671.0
2013-05-17,1649.5,1665.75,1648.25,,,1663.0,1921247.0,3169768.0
2013-05-16,1655.25,1658.75,1646.0,,,1648.0,1919609.0,3176247.0
2013-05-15,1647.5,1659.75,1642.75,,,1654.25,2122285.0,3154692.0
2013-05-14,1630.75,1648.75,1626.5,,,1648.0,2016880.0,3105550.0
2013-05-13,1625.5,1633.25,1621.5,,,1630.75,1328925.0,3120921.0
2013-05-10,1626.0,1631.0,1620.25,,,1629.5,1640219.0,3148180.0
2013-05-09,1628.25,1632.25,1620.0,,,1624.5,1823710.0,3136578.0
2013-05-08,1620.75,1629.5,1617.0,,,1628.75,1587375.0,3111748.0
2013-05-07,1612.5,1621.75,1609.25,,,1620.5,1504953.0,3065189.0
2013-05-06,1608.25,1615.25,1607.25,,,1613.5,963963.0,3059565.0
2013-05-03,1592.25,1614.25,1589.5,,,1608.5,1935194.0,3061901.0
2013-05-02,1579.25,1594.25,1578.75,,,1592.25,1651280.0,3039955.0
2013-05-01,1593.75,1595.5,1576.0,,,1577.25,1467736.0,3027398.0
2013-04-30,1588.5,1593.75,1581.25,,,1592.25,1549097.0,3027047.0
2013-04-29,1576.25,1592.25,1573.75,,,1588.25,1234673.0,3010615.0
2013-04-26,1581.5,1582.5,1572.5,,,1576.5,1335009.0,3025650.0
2013-04-25,1573.0,1588.25,1570.75,,,1581.75,1594338.0,2996797.0
2013-04-24,1573.5,1579.0,1570.75,,,1574.0,1420026.0,2984052.0
2013-04-23,1557.25,1577.0,1548.75,,,1573.5,2107980.0,2986321.0
2013-04-22,1548.5,1561.0,1542.75,,,1556.0,1593692.0,2980861.0
2013-04-19,1537.0,1550.75,1535.25,,,1547.5,1862742.0,2979370.0
2013-04-18,1544.5,1553.5,1530.75,,,1534.0,2314982.0,2974851.0
2013-04-17,1569.25,1569.5,1538.0,,,1546.0,2968605.0,2999059.0
2013-04-16,1542.5,1570.75,1542.25,,,1568.75,2249005.0,3004260.0
2013-04-15,1582.25,1583.0,1538.75,,,1543.5,2854356.0,3017262.0
2013-04-12,1588.25,1589.75,1575.0,,,1582.0,1808001.0,3044403.0
2013-04-11,1583.5,1593.0,1580.75,,,1587.75,1721257.0,3045241.0
2013-04-10,1563.75,1584.5,1561.0,,,1582.75,2031363.0,3023014.0
2013-04-09,1560.75,1569.0,1555.5,,,1563.25,1632361.0,3012787.0
2013-04-08,1545.5,1562.75,1543.0,,,1559.25,1438013.0,3008538.0
2013-04-05,1554.75,1555.25,1533.25,,,1546.0,2268208.0,3010436.0
2013-04-04,1548.5,1557.5,1546.0,,,1554.5,1991850.0,3000088.0
2013-04-03,1566.0,1567.75,1544.0,,,1548.5,2262940.0,2994068.0
2013-04-02,1556.25,1568.0,1554.25,,,1564.5,1609532.0,2983372.0
2013-04-01,1563.0,1565.0,1552.5,,,1556.0,1135732.0,2954514.0
2013-03-28,1556.75,1564.5,1549.75,,,1562.75,1627305.0,2933541.0
2013-03-27,1558.25,1560.5,1545.75,,,1556.75,1568970.0,2915951.0
2013-03-26,1548.25,1558.75,1546.75,,,1557.25,1587656.0,2888010.0
2013-03-25,1550.0,1560.5,1539.0,,,1547.0,2254235.0,2885612.0
2013-03-22,1538.5,1554.0,1535.0,,,1552.0,1579587.0,2873746.0
2013-03-21,1549.5,1550.75,1536.5,,,1539.0,1904151.0,2876641.0
2013-03-20,1539.25,1555.75,1536.5,,,1549.0,1797647.0,2832895.0
2013-03-19,1547.25,1551.25,1531.75,,,1542.25,2545239.0,2838894.0
2013-03-18,1544.0,1552.5,1529.5,,,1546.75,2188168.0,2827037.0
2013-03-15,1554.5,1558.75,1549.0,,,1553.5,1699828.0,2799851.0
2013-03-14,1550.75,1557.25,1549.0,,,1556.0,1528045.0,2758336.0
2013-03-13,1547.75,1551.25,1542.25,,,1550.0,1651884.0,2533033.0
2013-03-12,1551.5,1551.5,1541.75,,,1546.75,2084563.0,2129885.0
2013-03-11,1543.0,1551.75,1540.5,,,1550.5,1602017.0,1707474.0
2013-03-08,1538.0,1547.75,1535.25,,,1544.5,1914859.0,1291987.0
2013-03-07,1535.0,1540.5,1532.5,,,1537.75,871884.0,825377.0
2013-03-06,1533.5,1540.0,1532.0,,,1534.25,559353.0,451765.0
2013-03-05,1520.75,1537.25,1519.25,,,1532.0,308916.0,253301.0
2013-03-04,1509.25,1521.75,1501.5,,,1521.75,106370.0,167870.0
2013-03-01,1506.25,1513.0,1494.0,,,1510.25,62468.0,167870.0
2013-02-28,1510.0,1518.5,1503.0,,,1506.5,14807.0,122266.0
