,description,displaySymbol,symbol,source,Group,Asset
468,PEPPERSTONE US Dollar vs Swedish Krona USDSEK,USD/SEK,PEPPERSTONE:29,pepperstone,Curr,USD/SEK
469,IC MARKETS US Dollar vs Swedish Krona USDSEK,USD/SEK,IC MARKETS:29,ic markets,Curr,USD/SEK
470,USD/SGD,USD/SGD,OANDA:USD_SGD,oanda,Curr,USD/SGD
471,Forex.com USD/SGD,USD/SGD,FOREX:401484420,forex.com,Curr,USD/SGD
472,FXPIG US Dollar vs Singapore Dollar USDSGD.spa,USD/SGD,FXPIG:28,fxpig,Curr,USD/SGD
473,PEPPERSTONE US Dollar vs Singapore Dollar USDSGD,USD/SGD,PEPPERSTONE:28,pepperstone,Curr,USD/SGD
474,ICMTRADER US Dollar vs Singapore Dollar USDSGD,USD/SGD,ICMTRADER:28,icmtrader,Curr,USD/SGD
475,IC MARKETS US Dollar vs Singapore Dollar USDSGD,USD/SGD,IC MARKETS:28,ic markets,Curr,USD/SGD
476,USD/THB,USD/THB,OANDA:USD_THB,oanda,Curr,USD/THB
477,Forex.com USD/THB,USD/THB,FOREX:401484421,forex.com,Curr,USD/THB
478,IC MARKETS US Dollar vs Thai Bhat USDTHB,USD/THB,IC MARKETS:1026,ic markets,Curr,USD/THB
479,USD/TRY,USD/TRY,OANDA:USD_TRY,oanda,Curr,USD/TRY
480,FXCM USD/TRY,USD/TRY,FXCM:USD/TRY,fxcm,Curr,USD/TRY
481,Forex.com USD/TRY,USD/TRY,FOREX:401484422,forex.com,Curr,USD/TRY
482,FXPIG US Dollar vs Turkish Lira USDTRY.spa,USD/TRY,FXPIG:43,fxpig,Curr,USD/TRY
483,PEPPERSTONE US Dollar vs Turkish Lira USDTRY,USD/TRY,PEPPERSTONE:61,pepperstone,Curr,USD/TRY
484,ICMTRADER US Dollar vs Turkish Lira USDTRY,USD/TRY,ICMTRADER:43,icmtrader,Curr,USD/TRY
485,IC MARKETS US Dollar vs Turkish Lira USDTRY,USD/TRY,IC MARKETS:1012,ic markets,Curr,USD/TRY
486,USD/ZAR,USD/ZAR,OANDA:USD_ZAR,oanda,Curr,USD/ZAR
487,FXCM USD/ZAR,USD/ZAR,FXCM:USD/ZAR,fxcm,Curr,USD/ZAR
488,Forex.com USD/ZAR,USD/ZAR,FOREX:401484423,forex.com,Curr,USD/ZAR
489,FXPIG US Dollar vs South African rand USDZAR.spa,USD/ZAR,FXPIG:49,fxpig,Curr,USD/ZAR
490,PEPPERSTONE US Dollar vs South African Rand USDZAR,USD/ZAR,PEPPERSTONE:62,pepperstone,Curr,USD/ZAR
491,IC MARKETS US Dollar vs South African Rand USDZAR,USD/ZAR,IC MARKETS:1013,ic markets,Curr,USD/ZAR
492,ZAR/JPY,ZAR/JPY,OANDA:ZAR_JPY,oanda,Curr,ZAR/JPY
493,FXCM ZAR/JPY,ZAR/JPY,FXCM:ZAR/JPY,fxcm,Curr,ZAR/JPY
494,Forex.com ZAR/JPY,ZAR/JPY,FOREX:401484424,forex.com,Curr,ZAR/JPY
495,FXPIG South African rand vs Japanese Yen ZARJPY.spa,ZAR/JPY,FXPIG:98,fxpig,Curr,ZAR/JPY
496,PEPPERSTONE South African Rand vs Japanese Yen ZARJPY,ZAR/JPY,PEPPERSTONE:10027,pepperstone,Curr,ZAR/JPY
497,Natural Gas,NATGAS/USD,OANDA:NATGAS_USD,oanda,Gas,
498,FXCM NGAS,NGAS,FXCM:NGAS,fxcm,Gas,
499,PEPPERSTONE Natural Gas vs US Dollar XNGUSD,XNG/USD,PEPPERSTONE:75,pepperstone,Gas,
500,Australia 200,AU200/AUD,OANDA:AU200_AUD,oanda,Index_future,AUS200
501,ICMTRADER Australia 200 #AUS200,AUS/AUD,ICMTRADER:102,icmtrader,Index_future,AUS200
502,FXCM AUS200,AUS200,FXCM:AUS200,fxcm,Index_future,AUS200
503,PEPPERSTONE Australian S&P/ASX 200 Index AUS200,AUS200/AUD,PEPPERSTONE:10000,pepperstone,Index_future,AUS200
504,IC MARKETS Australian S&P/ASX 200 Index AUS200,AUS200/AUD,IC MARKETS:10000,ic markets,Index_future,AUS200
505,FXPIG AUS200 AUS200.spa,AUS200spa/AUD,FXPIG:340,fxpig,Index_future,AUS200
506,IC MARKETS FTSE China A50 Index CHINA50,CHINA50/USD,IC MARKETS:10025,ic markets,Index_future,CHN50
507,FXCM CHN50,CHN50,FXCM:CHN50,fxcm,Index_future,CHN50
508,China A50,CN50/USD,OANDA:CN50_USD,oanda,Index_future,CHN50
509,PEPPERSTONE China A50 Index CN50,CN50/USD,PEPPERSTONE:10018,pepperstone,Index_future,CHN50
510,ICMTRADER Germany 30 #Germany30,DAX/EUR,ICMTRADER:101,icmtrader,Index_future,DE30
511,FXPIG Germany 30 Cash index GER30.sfl,DAX244/EUR,FXPIG:244,fxpig,Index_future,DE30
512,Germany 30,DE30/EUR,OANDA:DE30_EUR,oanda,Index_future,DE30
513,PEPPERSTONE German DAX 30 Index GER30,DE30/EUR,PEPPERSTONE:10003,pepperstone,Index_future,DE30
514,IC MARKETS German DAX 30 Index DE30,DE30/EUR,IC MARKETS:10003,ic markets,Index_future,DE30
515,FXPIG DE30 DE30.spa,DE30spa/EUR,FXPIG:343,fxpig,Index_future,DE30
516,FXPIG DJ30 DJ30.spa,DJ30spa/USD,FXPIG:349,fxpig,Index_future,US30
517,PEPPERSTONE Spanish IBEX 35 Index SPA35,ES35/EUR,PEPPERSTONE:10009,pepperstone,Index_future,ESP35
518,IC MARKETS Spanish IBEX 35 Index ES35,ES35/EUR,IC MARKETS:10009,ic markets,Index_future,ESP35
519,FXCM ESP35,ESP35,FXCM:ESP35,fxcm,Index_future,ESP35
520,Europe 50,EU50/EUR,OANDA:EU50_EUR,oanda,Index_future,STOXX50
521,FXCM EUSTX50,EUSTX50,FXCM:EUSTX50,fxcm,Index_future,STOXX50
522,PEPPERSTONE French CAC 40 Index FRA40,F40/EUR,PEPPERSTONE:10002,pepperstone,Index_future,FR40
523,IC MARKETS French CAC 40 Index F40,F40/EUR,IC MARKETS:10002,ic markets,Index_future,FR40
524,FXPIG F40 F40.spa,F40spa/EUR,FXPIG:342,fxpig,Index_future,FR40
525,France 40,FR40/EUR,OANDA:FR40_EUR,oanda,Index_future,FR40
526,FXCM FRA40,FRA40,FXCM:FRA40,fxcm,Index_future,FR40
527,FXCM GER30,GER30,FXCM:GER30,fxcm,Index_future,DE30
528,Hong Kong 33,HK33/HKD,OANDA:HK33_HKD,oanda,Index_future,HK33
529,PEPPERSTONE Chinese Hang Seng 50 Index HK50,HK50/HKD,PEPPERSTONE:10004,pepperstone,Index_future,HK50
530,IC MARKETS Chinese Hang Seng 50 Index HK50,HK50/HKD,IC MARKETS:10004,ic markets,Index_future,HK50
531,FXCM HKG33,HKG33,FXCM:HKG33,fxcm,Index_future,HK33
532,FXPIG HKG50 HKG50.spa,HKG50spa/HKD,FXPIG:344,fxpig,Index_future,HK50
533,India 50,IN50/USD,OANDA:IN50_USD,oanda,Index_future,
534,PEPPERSTONE Italian FTSE MIB Index IT40,IT40/EUR,PEPPERSTONE:10005,pepperstone,Index_future,
535,IC MARKETS Italian FTSE MIB Index IT40,IT40/EUR,IC MARKETS:10005,ic markets,Index_future,
536,PEPPERSTONE Japan Nikkei 225 Index JPN225,JP225/JPY,PEPPERSTONE:10006,pepperstone,Index_future,JP225
537,IC MARKETS Japan Nikkei 225 Index JP225,JP225/JPY,IC MARKETS:10006,ic markets,Index_future,JP225
538,Japan 225,JP225/USD,OANDA:JP225_USD,oanda,Index_future,
539,FXCM JPN225,JPN225,FXCM:JPN225,fxcm,Index_future,JP225
540,FXPIG JPN225 JPN225.spa,JPN225spa/JPY,FXPIG:345,fxpig,Index_future,JP225
541,FXCM JPYBasket,JPYBasket,FXCM:JPYBasket,fxcm,Index_future,
542,FXCM NAS100,NAS100,FXCM:NAS100,fxcm,Index_future,NASD100
543,US Nas 100,NAS100/USD,OANDA:NAS100_USD,oanda,Index_future,NASD100
544,Netherlands 25,NL25/EUR,OANDA:NL25_EUR,oanda,Index_future,
545,Singapore 30,SG30/SGD,OANDA:SG30_SGD,oanda,Index_future,
546,ICMTRADER S&P 500 #US500,SPX/USD,ICMTRADER:107,icmtrader,Index_future,SP500
547,FXCM SPX500,SPX500,FXCM:SPX500,fxcm,Index_future,SP500
548,US SPX 500,SPX500/USD,OANDA:SPX500_USD,oanda,Index_future,SP500
549,PEPPERSTONE EURO STOXX 50 Index EUSTX50,STOXX50/EUR,PEPPERSTONE:10001,pepperstone,Index_future,STOXX50
550,IC MARKETS EURO STOXX 50 Index STOXX50,STOXX50/EUR,IC MARKETS:10001,ic markets,Index_future,STOXX50
551,FXPIG STOXX50 STOXX50.spa,STOXX50spa/EUR,FXPIG:341,fxpig,Index_future,STOXX50
552,Taiwan Index,TWIX/USD,OANDA:TWIX_USD,oanda,Index_future,
553,FXCM UK100,UK100,FXCM:UK100,fxcm,Index_future,UK100
554,UK 100,UK100/GBP,OANDA:UK100_GBP,oanda,Index_future,UK100
555,PEPPERSTONE UK 100 Index UK100,UK100/GBP,PEPPERSTONE:10011,pepperstone,Index_future,UK100
556,IC MARKETS UK 100 Index UK100,UK100/GBP,IC MARKETS:10011,ic markets,Index_future,UK100
557,FXPIG UK100 UK100.spa,UK100spa/GBP,FXPIG:346,fxpig,Index_future,UK100
558,FXCM US2000,US2000,FXCM:US2000,fxcm,Index_future,US2000
559,US Russ 2000,US2000/USD,OANDA:US2000_USD,oanda,Index_future,US2000
560,PEPPERSTONE USA Russell 2000 Index US2000,US2000/USD,PEPPERSTONE:10012,pepperstone,Index_future,US2000
561,IC MARKETS USA Russell 2000 Index US2000,US2000/USD,IC MARKETS:10012,ic markets,Index_future,US2000
562,FXCM US30,US30,FXCM:US30,fxcm,Index_future,US30
563,US Wall St 30,US30/USD,OANDA:US30_USD,oanda,Index_future,US30
564,PEPPERSTONE USA Dow Jones IA Index US30,US30/USD,PEPPERSTONE:10015,pepperstone,Index_future,US30
565,IC MARKETS USA Dow Jones IA Index US30,US30/USD,IC MARKETS:10015,ic markets,Index_future,US30
566,PEPPERSTONE USA S&P 500 Index US500,US500/USD,PEPPERSTONE:10013,pepperstone,Index_future,SP500
567,IC MARKETS USA S&P 500 Index US500,US500/USD,IC MARKETS:10013,ic markets,Index_future,SP500
568,FXCM USDOLLAR,USDOLLAR,FXCM:USDOLLAR,fxcm,Index_future,
569,PEPPERSTONE US Dollar Index USDX,USDX/USD,PEPPERSTONE:10019,pepperstone,Index_future,
570,PEPPERSTONE USA NASDAQ 100 Index NAS100,USTEC/USD,PEPPERSTONE:10014,pepperstone,Index_future,NASD100
571,IC MARKETS USA NASDAQ 100 Index USTEC,USTEC/USD,IC MARKETS:10014,ic markets,Index_future,NASD100
572,FXPIG USTEC USTEC.spa,USTECspa/USD,FXPIG:348,fxpig,Index_future,
573,FXCM Copper,Copper,FXCM:Copper,fxcm,Metal,
574,Copper,XCU/USD,OANDA:XCU_USD,oanda,Metal,
575,Brent Crude Oil,BCO/USD,OANDA:BCO_USD,oanda,Oil,
576,PEPPERSTONE WTI Cash (or Spot) Contract SpotCrude,SpotCrude/USD,PEPPERSTONE:10054,pepperstone,Oil,
577,FXCM UKOil,UKOil,FXCM:UKOil,fxcm,Oil,
578,FXPIG UKOIL UKOIL.spa,UKOILspa/USD,FXPIG:339,fxpig,Oil,
579,FXCM USOil,USOil,FXCM:USOil,fxcm,Oil,
580,West Texas Oil,WTICO/USD,OANDA:WTICO_USD,oanda,Oil,
581,FXPIG WTI_OIL WTI_OIL.spa,WTIOILspa/USD,FXPIG:338,fxpig,Oil,
582,PEPPERSTONE Brent Crude vs US Dollar XBRUSD,XBR/USD,PEPPERSTONE:10016,pepperstone,Oil,
583,ICMTRADER Brent Crude Oil BRENT,XBR/USD,ICMTRADER:100,icmtrader,Oil,
584,IC MARKETS Brent Crude Oil XBRUSD,XBR/USD,IC MARKETS:10018,ic markets,Oil,
585,PEPPERSTONE West Texas Intermediate vs US Dollar XTIUSD,XTI/USD,PEPPERSTONE:10017,pepperstone,Oil,
586,ICMTRADER WTI Light Crude Oil WTI,XTI/USD,ICMTRADER:99,icmtrader,Oil,
587,IC MARKETS WTI Light Crude Oil XTIUSD,XTI/USD,IC MARKETS:10019,ic markets,Oil,
588,FXPIG Palladium vs Euro XPDEUR.spa,XPD/EUR,FXPIG:94,fxpig,Metal,
589,Palladium,XPD/USD,OANDA:XPD_USD,oanda,Metal,Pallad-USD
590,FXPIG Palladium  vs US Dollar XPDUSD.spa,XPD/USD,FXPIG:95,fxpig,Metal,Pallad-USD
591,PEPPERSTONE Palladium vs US Dollar XPDUSD,XPD/USD,PEPPERSTONE:73,pepperstone,Metal,Pallad-USD
592,IC MARKETS Palladium XPDUSD,XPD/USD,IC MARKETS:10016,ic markets,Metal,Pallad-USD
593,FXPIG Platinum vs Euro XPTEUR.spa,XPT/EUR,FXPIG:96,fxpig,Metal,
594,Platinum,XPT/USD,OANDA:XPT_USD,oanda,Metal,Plat-USD
595,FXPIG Platinum vs US Dollar XPTUSD.spa,XPT/USD,FXPIG:97,fxpig,Metal,Plat-USD
596,PEPPERSTONE Platinum vs US Dollar XPTUSD,XPT/USD,PEPPERSTONE:74,pepperstone,Metal,Plat-USD
597,IC MARKETS Platinum XPTUSD,XPT/USD,IC MARKETS:10017,ic markets,Metal,Plat-USD
598,FXPIG XPTUSD XPTUSD.mpa,XPT325/USD,FXPIG:325,fxpig,Metal,
599,ICMTRADER  American Airlines,AAL/USD,ICMTRADER:187,icmtrader,Stock_future,
600,ICMTRADER  American International Group,AIG/USD,ICMTRADER:148,icmtrader,Stock_future,
601,ICMTRADER  AMC Networks Inc,AMCX/USD,ICMTRADER:160,icmtrader,Stock_future,
602,ICMTRADER  Amazon,AMZN/USD,ICMTRADER:122,icmtrader,Stock_future,
603,ICMTRADER  Apple Inc,APPL/USD,ICMTRADER:147,icmtrader,Stock_future,
604,ICMTRADER  American Express,AXP/USD,ICMTRADER:166,icmtrader,Stock_future,
605,ICMTRADER  Alibaba,BABA/USD,ICMTRADER:114,icmtrader,Stock_future,
606,ICMTRADER  Bank of America,BAC/USD,ICMTRADER:159,icmtrader,Stock_future,
607,ICMTRADER  Blackberry,BB/USD,ICMTRADER:177,icmtrader,Stock_future,
608,ICMTRADER  Baker Hughes,BHI/USD,ICMTRADER:178,icmtrader,Stock_future,
609,ICMTRADER  Blackrock,BLK/USD,ICMTRADER:161,icmtrader,Stock_future,
610,ICMTRADER  Bristol-Myer Squiib,BMY/USD,ICMTRADER:169,icmtrader,Stock_future,
611,ICMTRADER  Berkshire Hathaway Class B,BRKB/USD,ICMTRADER:179,icmtrader,Stock_future,
612,ICMTRADER  Citigroup Inc,C/USD,ICMTRADER:149,icmtrader,Stock_future,
613,ICMTRADER  Caterpillar Inc,CAT/USD,ICMTRADER:150,icmtrader,Stock_future,
614,ICMTRADER  Coca Cola Ent,CCE/USD,ICMTRADER:180,icmtrader,Stock_future,
615,ICMTRADER  Cigna Corp,CI/USD,ICMTRADER:189,icmtrader,Stock_future,
616,ICMTRADER  Colgate-Palmo CL.,CL/USD,ICMTRADER:181,icmtrader,Stock_future,
617,ICMTRADER  Capital One,COF/USD,ICMTRADER:188,icmtrader,Stock_future,
618,ICMTRADER  Salesforce,CRM/USD,ICMTRADER:140,icmtrader,Stock_future,
619,ICMTRADER  Cisco Systems,CSCO/USD,ICMTRADER:123,icmtrader,Stock_future,
620,ICMTRADER  Chevron,CVX/USD,ICMTRADER:116,icmtrader,Stock_future,
621,ICMTRADER  Walt Disney Company.,DIS/USD,ICMTRADER:151,icmtrader,Stock_future,
622,ICMTRADER  Ebay,EBAY/USD,ICMTRADER:124,icmtrader,Stock_future,
623,ICMTRADER  Estee Lauder,EL/USD,ICMTRADER:190,icmtrader,Stock_future,
624,FXCM EMBasket,EMBasket,FXCM:EMBasket,fxcm,Stock_future,
625,ICMTRADER  Expedia,EXPE/USD,ICMTRADER:191,icmtrader,Stock_future,
626,ICMTRADER  Ford Motors,F/USD,ICMTRADER:113,icmtrader,Stock_future,
627,ICMTRADER  Facebook,FB/USD,ICMTRADER:164,icmtrader,Stock_future,
628,ICMTRADER  Fedex,FDX/USD,ICMTRADER:125,icmtrader,Stock_future,
629,ICMTRADER  General Electric Co,GE/USD,ICMTRADER:155,icmtrader,Stock_future,
630,ICMTRADER  General Motors,GM/USD,ICMTRADER:194,icmtrader,Stock_future,
631,ICMTRADER  Google Inc,GOOGL/USD,ICMTRADER:152,icmtrader,Stock_future,
632,ICMTRADER  Gap,GPS/USD,ICMTRADER:192,icmtrader,Stock_future,
633,ICMTRADER  Garmin,GRMN/USD,ICMTRADER:193,icmtrader,Stock_future,
634,ICMTRADER  Goldman Sachs Group,GS/USD,ICMTRADER:127,icmtrader,Stock_future,
635,ICMTRADER  Goodyear,GT/USD,ICMTRADER:195,icmtrader,Stock_future,
636,ICMTRADER  Halliburton,HAL/USD,ICMTRADER:128,icmtrader,Stock_future,
637,ICMTRADER  Hasbro,HAS/USD,ICMTRADER:196,icmtrader,Stock_future,
638,ICMTRADER  Home Depot,HD/USD,ICMTRADER:130,icmtrader,Stock_future,
639,ICMTRADER  Herballife,HLF/USD,ICMTRADER:197,icmtrader,Stock_future,
640,ICMTRADER  Hilton Worldwide Holdings Inc,HLT/USD,ICMTRADER:199,icmtrader,Stock_future,
641,ICMTRADER  Honda Motor Co,HMC/USD,ICMTRADER:183,icmtrader,Stock_future,
642,ICMTRADER  Harley-Davidson,HOG/USD,ICMTRADER:129,icmtrader,Stock_future,
643,ICMTRADER  Honeywell International,HON/USD,ICMTRADER:182,icmtrader,Stock_future,
644,ICMTRADER  Hewlett Packard Enterprise,HPE/USD,ICMTRADER:198,icmtrader,Stock_future,
645,ICMTRADER  International Business Machines,IBM/USD,ICMTRADER:154,icmtrader,Stock_future,
646,ICMTRADER  Intel,INTC/USD,ICMTRADER:118,icmtrader,Stock_future,
647,ICMTRADER  JD.com,JD/USD,ICMTRADER:200,icmtrader,Stock_future,
648,ICMTRADER  Johnson&Johnson,JNJ/USD,ICMTRADER:131,icmtrader,Stock_future,
649,ICMTRADER  Jp Morgan Chase,JPM/USD,ICMTRADER:167,icmtrader,Stock_future,
650,ICMTRADER  Kellogg,K/USD,ICMTRADER:201,icmtrader,Stock_future,
651,ICMTRADER  Kimberly Clark,KMB/USD,ICMTRADER:202,icmtrader,Stock_future,
652,ICMTRADER  Coca Cola,KO/USD,ICMTRADER:115,icmtrader,Stock_future,
653,PEPPERSTONE Litecoin vs US Dollar Litecoin,Litecoin/USD,PEPPERSTONE:10030,pepperstone,Stock_future,
654,ICMTRADER  Lockheed Martin,LMT/USD,ICMTRADER:132,icmtrader,Stock_future,
655,ICMTRADER  LinkedIn Corporation,LNKD/USD,ICMTRADER:184,icmtrader,Stock_future,
656,FXCM LTC/USD,LTC/USD,FXCM:LTC/USD,fxcm,Stock_future,
657,ICMTRADER Litecoin LTCUSD,LTC/USD,ICMTRADER:111,icmtrader,Stock_future,
658,IC MARKETS Litecoin US Dollar LTCUSD,LTC/USD,IC MARKETS:10030,ic markets,Stock_future,
659,ICMTRADER  Las Vegas Sands,LVS/USD,ICMTRADER:203,icmtrader,Stock_future,
660,ICMTRADER  Mastercard,MA/USD,ICMTRADER:206,icmtrader,Stock_future,
661,ICMTRADER  Marriott International,MAR/USD,ICMTRADER:133,icmtrader,Stock_future,
662,ICMTRADER  Masimo Corp,MASI/USD,ICMTRADER:205,icmtrader,Stock_future,
663,ICMTRADER  McDonald's,MCD/USD,ICMTRADER:158,icmtrader,Stock_future,
664,ICMTRADER  Moody,MCO/USD,ICMTRADER:135,icmtrader,Stock_future,
665,ICMTRADER  Metlife Inc,MET/USD,ICMTRADER:134,icmtrader,Stock_future,
666,ICMTRADER  Mohawk Industries Inc,MHK/USD,ICMTRADER:207,icmtrader,Stock_future,
667,ICMTRADER  3M Company,MMM/USD,ICMTRADER:156,icmtrader,Stock_future,
668,ICMTRADER  Monsanto Co,MON/USD,ICMTRADER:171,icmtrader,Stock_future,
669,ICMTRADER  Marvell,MRVL/USD,ICMTRADER:204,icmtrader,Stock_future,
670,ICMTRADER  Morgan Stanley,MS/USD,ICMTRADER:117,icmtrader,Stock_future,
671,ICMTRADER  MSCI Inc,MSCI/USD,ICMTRADER:209,icmtrader,Stock_future,
672,ICMTRADER  Microsoft Corporation,MSFT/USD,ICMTRADER:153,icmtrader,Stock_future,
673,ICMTRADER  Motorola Solutions,MSI/USD,ICMTRADER:208,icmtrader,Stock_future,
674,ICMTRADER  Micron Technology. Inc.,MU/USD,ICMTRADER:121,icmtrader,Stock_future,
675,ICMTRADER  Netflix. Inc.,NFLX/USD,ICMTRADER:120,icmtrader,Stock_future,
676,ICMTRADER  NIKE Inc,NKE/USD,ICMTRADER:136,icmtrader,Stock_future,
677,ICMTRADER  Northern Trust,NTRS/USD,ICMTRADER:137,icmtrader,Stock_future,
678,ICMTRADER  NVIDIA Corporation,NVDA/USD,ICMTRADER:119,icmtrader,Stock_future,
679,ICMTRADER  Oracle,ORCL/USD,ICMTRADER:168,icmtrader,Stock_future,
680,ICMTRADER  Pepsi Co,PEP/USD,ICMTRADER:210,icmtrader,Stock_future,
681,ICMTRADER  Pfizer Inc,PFE/USD,ICMTRADER:157,icmtrader,Stock_future,
682,ICMTRADER  Procter & Gamb,PG/USD,ICMTRADER:138,icmtrader,Stock_future,
683,ICMTRADER  Prudential Financial,PRU/USD,ICMTRADER:211,icmtrader,Stock_future,
684,ICMTRADER  Qualcomm,QCOM/USD,ICMTRADER:165,icmtrader,Stock_future,
685,ICMTRADER  Ferrari,RACE/USD,ICMTRADER:126,icmtrader,Stock_future,
686,ICMTRADER  Ralph Lauren,RL/USD,ICMTRADER:139,icmtrader,Stock_future,
687,ICMTRADER  Starbucks,SBUX/USD,ICMTRADER:170,icmtrader,Stock_future,
688,ICMTRADER  Sirius Satellite Radio,SIRI/USD,ICMTRADER:141,icmtrader,Stock_future,
689,ICMTRADER  Schlumberger,SLB/USD,ICMTRADER:212,icmtrader,Stock_future,
690,ICMTRADER  Snap Inc,SNAP/USD,ICMTRADER:185,icmtrader,Stock_future,
691,ICMTRADER  Sony Corp,SNE/USD,ICMTRADER:214,icmtrader,Stock_future,
692,ICMTRADER  Seagate Technology,STX/USD,ICMTRADER:213,icmtrader,Stock_future,
693,ICMTRADER  Sysco,SYY/USD,ICMTRADER:162,icmtrader,Stock_future,
694,ICMTRADER  At&T,T/USD,ICMTRADER:173,icmtrader,Stock_future,
695,ICMTRADER  TEVA,TEVA/USD,ICMTRADER:176,icmtrader,Stock_future,
696,ICMTRADER  Triumph Group Inc,TGI/USD,ICMTRADER:217,icmtrader,Stock_future,
697,ICMTRADER  Tripadvisor,TRIP/USD,ICMTRADER:216,icmtrader,Stock_future,
698,ICMTRADER  Travelers,TRV/USD,ICMTRADER:215,icmtrader,Stock_future,
699,TRY/JPY,TRY/JPY,OANDA:TRY_JPY,oanda,Stock_future,
700,FXCM TRY/JPY,TRY/JPY,FXCM:TRY/JPY,fxcm,Stock_future,
701,Forex.com TRY/JPY,TRY/JPY,FOREX:401484405,forex.com,Stock_future,
702,ICMTRADER  Tesla Motors,TSLA/USD,ICMTRADER:163,icmtrader,Stock_future,
703,ICMTRADER  Twitter,TWTR/USD,ICMTRADER:174,icmtrader,Stock_future,
704,ICMTRADER  Time Warner,TWX/USD,ICMTRADER:186,icmtrader,Stock_future,
705,ICMTRADER  Under Armour,UA/USD,ICMTRADER:142,icmtrader,Stock_future,
706,ICMTRADER  Visa,V/USD,ICMTRADER:144,icmtrader,Stock_future,
707,ICMTRADER  Verizon Communications,VZ/USD,ICMTRADER:143,icmtrader,Stock_future,
708,ICMTRADER  Western Digital Corp,WDC/USD,ICMTRADER:219,icmtrader,Stock_future,
709,ICMTRADER  Wells Fargo,WFC/USD,ICMTRADER:175,icmtrader,Stock_future,
710,ICMTRADER  Walmart Stores,WMT/USD,ICMTRADER:218,icmtrader,Stock_future,
711,ICMTRADER  Western Union,WU/USD,ICMTRADER:145,icmtrader,Stock_future,
712,ICMTRADER  Wyndham Destinations Inc,WYND/USD,ICMTRADER:220,icmtrader,Stock_future,
713,ICMTRADER  Wynn Resorts,WYNN/USD,ICMTRADER:221,icmtrader,Stock_future,
714,ICMTRADER  Exxon Mobil XOM.N,XOM/USD,ICMTRADER:172,icmtrader,Stock_future,
715,ICMTRADER  Xerox,XRX/USD,ICMTRADER:146,icmtrader,Stock_future,
716,Silver/AUD,XAG/AUD,OANDA:XAG_AUD,oanda,Metal,
717,PEPPERSTONE Silver vs Australian Dollar XAGAUD,XAG/AUD,PEPPERSTONE:10058,pepperstone,Metal,
718,Silver/CAD,XAG/CAD,OANDA:XAG_CAD,oanda,Metal,
719,Silver/CHF,XAG/CHF,OANDA:XAG_CHF,oanda,Metal,
720,Silver/EUR,XAG/EUR,OANDA:XAG_EUR,oanda,Metal,XAG/EUR
721,FXPIG Silver vs Euro XAGEUR.spa,XAG/EUR,FXPIG:92,fxpig,Metal,XAG/EUR
722,PEPPERSTONE Silver vs Euro XAGEUR,XAG/EUR,PEPPERSTONE:64,pepperstone,Metal,XAG/EUR
723,IC MARKETS Silver vs Euro XAGEUR,XAG/EUR,IC MARKETS:44,ic markets,Metal,XAG/EUR
724,Silver/GBP,XAG/GBP,OANDA:XAG_GBP,oanda,Metal,
725,Silver/HKD,XAG/HKD,OANDA:XAG_HKD,oanda,Metal,
726,Silver/JPY,XAG/JPY,OANDA:XAG_JPY,oanda,Metal,
727,Silver/NZD,XAG/NZD,OANDA:XAG_NZD,oanda,Metal,
728,Silver/SGD,XAG/SGD,OANDA:XAG_SGD,oanda,Metal,
729,Silver,XAG/USD,OANDA:XAG_USD,oanda,Metal,XAG/USD
730,FXCM XAG/USD,XAG/USD,FXCM:XAG/USD,fxcm,Metal,XAG/USD
731,FXPIG Silver vs US Dollar XAGUSD.spa,XAG/USD,FXPIG:42,fxpig,Metal,XAG/USD
732,PEPPERSTONE Silver vs US Dollar XAGUSD,XAG/USD,PEPPERSTONE:42,pepperstone,Metal,XAG/USD
733,ICMTRADER Silver vs US Dollar XAGUSD,XAG/USD,ICMTRADER:42,icmtrader,Metal,XAG/USD
734,IC MARKETS Silver vs US Dollar XAGUSD,XAG/USD,IC MARKETS:42,ic markets,Metal,XAG/USD
735,OCTAFX Silver vs US Dollar XAGUSD,XAG/USD,OCTAFX:42,octafx,Metal,XAG/USD
736,Forex.com XAG/USD (per 0.1),XAG/USD (per 0.1),FOREX:401501559,forex.com,Metal,XAG/USD
737,Gold/AUD,XAU/AUD,OANDA:XAU_AUD,oanda,Metal,
738,PEPPERSTONE Gold vs AUD XAUAUD,XAU/AUD,PEPPERSTONE:10025,pepperstone,Metal,
739,Gold/CAD,XAU/CAD,OANDA:XAU_CAD,oanda,Metal,
740,Gold/CHF,XAU/CHF,OANDA:XAU_CHF,oanda,Metal,
741,PEPPERSTONE Gold vs Swiss Franc XAUCHF,XAU/CHF,PEPPERSTONE:10056,pepperstone,Metal,
742,Gold/EUR,XAU/EUR,OANDA:XAU_EUR,oanda,Metal,XAU/EUR
743,FXPIG Gold vs Euro XAUEUR.spa,XAU/EUR,FXPIG:93,fxpig,Metal,XAU/EUR
744,PEPPERSTONE Gold vs Euro XAUEUR,XAU/EUR,PEPPERSTONE:63,pepperstone,Metal,XAU/EUR
745,IC MARKETS Gold vs Euro XAUEUR,XAU/EUR,IC MARKETS:43,ic markets,Metal,XAU/EUR
746,Gold/GBP,XAU/GBP,OANDA:XAU_GBP,oanda,Metal,
