New.ICB.Industry.code;New.ICB.Industry;New.ICB.Supersector.code;New.ICB.Supersector;New.ICB.Sector.code;New.ICB.Sector;New.ICB.Subsector.code;New.ICB.Subsector;Old.ICB.Industry.code;Old.ICB.Industry;Old.ICB.Subsector.code;Old.ICB.Subsector;Old.Russel.Sector.code;Old.Russel.Sector;Old.Russel.Industry.code;Old.Russel.Industry
60;Energy;6010;Energy;601010;Non-Renewable Energy;60101015;Offshore Drilling & Other Services;1;Oil & Gas;533;Exploration & Production;6;Energy;620660;Offshore Drilling & Other Services
60;Energy;6010;Energy;601010;Non-Renewable Energy;60101020;Oil Refining and Marketing;1;Oil & Gas;533;Exploration & Production;6;Energy;620605;Oil: Refining & Marketing
60;Energy;6010;Energy;601010;Non-Renewable Energy;60101030;Oil Equipment & Services;1;Oil & Gas;573;Oil Equipment & Services;6;Energy;610600;Oil Well Equipment & Services
60;Energy;6010;Energy;601010;Non-Renewable Energy;60101035;Pipelines;1;Oil & Gas;577;Pipelines;6;Energy;620877;Gas Pipeline
60;Energy;6010;Energy;601010;Non-Renewable Energy;60101040;Coal;1000;Basic Materials;1771;Coal;6;Energy;620435;Coal
60;Energy;6010;Energy;601020;Renewable Energy;60102010;Alternative Fuels ;1;Oil & Gas;587;Alternative Fuels ;6;Energy;630478;Alternative Energy
60;Energy;6010;Energy;601020;Renewable Energy;60102020;Renewable Energy Equipment ;1;Oil & Gas;583;Renewable Energy Equipment ;6;Energy;610477;Energy Equipment
65;Utilities;6510;Utilities;651010;Electricity;65101010;Alternative Electricity;7000;Utilities;7537;Alternative Electricity;11;Utilities;1110870;Utilities: Electrical
65;Utilities;6510;Utilities;651010;Electricity;65101015;Conventional Electricity;7000;Utilities;7535;Conventional Electricity;11;Utilities;1110870;Utilities: Electrical
65;Utilities;6510;Utilities;651020;Gas, Water & Multi-utilities ;65102000;Multi-Utilities;7000;Utilities;7575;Multi-Utilities;11;Utilities;1110868;Utilities: Miscellaneous
65;Utilities;6510;Utilities;651020;Gas, Water & Multi-utilities ;65102020;Gas Distribution;7000;Utilities;7573;Gas Distribution;11;Utilities;1110875;Utilities: Gas Distributors
65;Utilities;6510;Utilities;651020;Gas, Water & Multi-utilities ;65102030;Water;7000;Utilities;7577;Water;11;Utilities;1110882;Utilities: Water
65;Utilities;6510;Utilities;651030;Waste & Disposal Services;65103035;Waste & Disposal Services;2000;Industrials;2799;Waste & Disposal Services;8;Producer Durables;850484;Environmental Maintenance & Security Services
