,description,displaySymbol,symbol,source,Exch_name
66,INDIVIOR PLC REG SHA,2IV.SG,2IV.SG,SG,BOERSE STUTTGART
67,ANOVA METALS (2KI.SG),2KI.SG,2KI.SG,SG,BOERSE STUTTGART
68,SOLARWINDOW TECHN (2N0N.SG),2N0N.SG,2N0N.SG,SG,BOERSE STUTTGART
69,Ormester Vagyonvedelmi Nyrt,2OM.SG,2OM.SG,SG,BOERSE STUTTGART
70,PETROSEA (2P0N.SG),2P0N.SG,2P0N.SG,SG,BOERSE STUTTGART
71,BK JABAR BANTEN -B- (2PE.SG),2PE.SG,2PE.SG,SG,BOERSE STUTTGART
72,Rare Earth Minerals plc (2RE.SG,2RE.SG,2RE.SG,SG,BOERSE STUTTGART
73,PT Trada Alam Minera Tbk,2TM.SG,2TM.SG,SG,BOERSE STUTTGART
74,Tianjin Zhong Xin Pharmaceutical Group Corporation Limited,2TZ.SG,2TZ.SG,SG,BOERSE STUTTGART
75,2U INC,2U1.SG,2U1.SG,SG,BOERSE STUTTGART
76,VERASTEM (2VS.SG),2VS.SG,2VS.SG,SG,BOERSE STUTTGART
77,WEIBO CORP,2WBA.SG,2WBA.SG,SG,BOERSE STUTTGART
78,XIWANG SPECIAL STEE (2XI.SG),2XI.SG,2XI.SG,SG,BOERSE STUTTGART
79,MYER HOLDINGS (30M.SG),30M.SG,30M.SG,SG,BOERSE STUTTGART
80,DAETWYLER HLDG (31D1.SG),31D1.SG,31D1.SG,SG,BOERSE STUTTGART
81,VINDA INTL HLDGS (31V.SG),31V.SG,31V.SG,SG,BOERSE STUTTGART
82,WESTERN COPPER (31WN.SG),31WN.SG,31WN.SG,SG,BOERSE STUTTGART
83,KATANGA MINING (31Z.SG),31Z.SG,31Z.SG,SG,BOERSE STUTTGART
84,AEGEAN AIRLINES (32A.SG),32A.SG,32A.SG,SG,BOERSE STUTTGART
85,BIALETTI INDUSTRIE (32B.SG),32B.SG,32B.SG,SG,BOERSE STUTTGART
86,NEW GOLD (32N.SG),32N.SG,32N.SG,SG,BOERSE STUTTGART
87,SPITFIRE OIL (32S.SG),32S.SG,32S.SG,SG,BOERSE STUTTGART
88,BADGER METER (33B.SG),33B.SG,33B.SG,SG,BOERSE STUTTGART
89,LULULEMON ATHL (33L.SG),33L.SG,33L.SG,SG,BOERSE STUTTGART
90,ALBIOMA (33S.SG),33S.SG,33S.SG,SG,BOERSE STUTTGART
91,XINJIANG XINXIN -H- (33X1.SG),33X1.SG,33X1.SG,SG,BOERSE STUTTGART
92,DIASORIN (34D.SG),34D.SG,34D.SG,SG,BOERSE STUTTGART
93,SERENGETI RESOURCES (34S.SG),34S.SG,34S.SG,SG,BOERSE STUTTGART
94,ULTA SALON C&F (34U.SG),34U.SG,34U.SG,SG,BOERSE STUTTGART
95,SHANTA GOLD (35S.SG),35S.SG,35S.SG,SG,BOERSE STUTTGART
96,NEW MILLENNIUM IRON (36N.SG),36N.SG,36N.SG,SG,BOERSE STUTTGART
97,B&C SPEAKERS (37B.SG),37B.SG,37B.SG,SG,BOERSE STUTTGART
98,BIRCHCLIFF ENERGY (39B.SG),39B.SG,39B.SG,SG,BOERSE STUTTGART
99,MONEYSUPERMARKET (39M.SG),39M.SG,39M.SG,SG,BOERSE STUTTGART
100,LIAN BENG GROUP (39Q.SG),39Q.SG,39Q.SG,SG,BOERSE STUTTGART
101,AEFFE (3A1.SG),3A1.SG,3A1.SG,SG,BOERSE STUTTGART
102,Buxton Resources Limited (3B4.S,3B4.SG,3B4.SG,SG,BOERSE STUTTGART
103,CANACOL ENERGY (3B6A.SG),3B6A.SG,3B6A.SG,SG,BOERSE STUTTGART
104,SHAMARAN PETROL (3B8.SG),3B8.SG,3B8.SG,SG,BOERSE STUTTGART
105,CANASIL RESOURCES (3CC.SG),3CC.SG,3CC.SG,SG,BOERSE STUTTGART
106,COUNTRYWIDE (3CW.SG),3CW.SG,3CW.SG,SG,BOERSE STUTTGART
107,Cordlife Group Limited,3DC.SG,3DC.SG,SG,BOERSE STUTTGART
108,ENQUEST (3EQ.SG),3EQ.SG,3EQ.SG,SG,BOERSE STUTTGART
109,BLUCORA (3EV.SG),3EV.SG,3EV.SG,SG,BOERSE STUTTGART
110,HANSA RESOURCES (3F2.SG),3F2.SG,3F2.SG,SG,BOERSE STUTTGART
111,FutureFuel Corp,3FF.SG,3FF.SG,SG,BOERSE STUTTGART
112,FRANCO-NEVADA (3FO.SG),3FO.SG,3FO.SG,SG,BOERSE STUTTGART
113,SOLARGIGA ENERGY (3FV.SG),3FV.SG,3FV.SG,SG,BOERSE STUTTGART
114,KOOTENAY SILVER (3FX.SG),3FX.SG,3FX.SG,SG,BOERSE STUTTGART
115,BENETEAU (3GD.SG),3GD.SG,3GD.SG,SG,BOERSE STUTTGART
116,KAUFMAN ET BROAD (3GH.SG),3GH.SG,3GH.SG,SG,BOERSE STUTTGART
117,GCL-POLY ENERGY (3GY.SG),3GY.SG,3GY.SG,SG,BOERSE STUTTGART
118,LYDIAN INTL (3HC.SG),3HC.SG,3HC.SG,SG,BOERSE STUTTGART
119,MANX FIN GROUP (3IM.SG),3IM.SG,3IM.SG,SG,BOERSE STUTTGART
120,Dyna-Mac Holdings Ltd,3IN.SG,3IN.SG,SG,BOERSE STUTTGART
121,IT COMPETENCE GR (3IT.SG),3IT.SG,3IT.SG,SG,BOERSE STUTTGART
122,INVESCO (3IW.SG),3IW.SG,3IW.SG,SG,BOERSE STUTTGART
123,INNERGEX RENEWABLE (3IX.SG),3IX.SG,3IX.SG,SG,BOERSE STUTTGART
124,Loto Interactive Limited,3IY.SG,3IY.SG,SG,BOERSE STUTTGART
125,KINGSOFT (3K1.SG),3K1.SG,3K1.SG,SG,BOERSE STUTTGART
126,QMC QUANTUM MIN (3LQ.SG),3LQ.SG,3LQ.SG,SG,BOERSE STUTTGART
127,China Nonferrous Mining Corporation Limited,3N4.SG,3N4.SG,SG,BOERSE STUTTGART
128,NTDRGN WEBSOFT (3ND.SG),3ND.SG,3ND.SG,SG,BOERSE STUTTGART
129,NRW HLDG (3NR.SG),3NR.SG,3NR.SG,SG,BOERSE STUTTGART
130,OROCOBRE (3O1.SG),3O1.SG,3O1.SG,SG,BOERSE STUTTGART
131,MAIRE TECNIMONT (3OY1.SG),3OY1.SG,3OY1.SG,SG,BOERSE STUTTGART
132,PANDORA (3P7.SG),3P7.SG,3P7.SG,SG,BOERSE STUTTGART
133,RECKITT BENCK GRP (3RB.SG),3RB.SG,3RB.SG,SG,BOERSE STUTTGART
