,description,displaySymbol,symbol,source,Exch_name
1983,MARSH & MCLENNAN (MSN.SG),MSN.SG,MSN.SG,SG,BOERSE STUTTGART
1984,MAROC TELECOM (MSPA.SG),MSPA.SG,MSPA.SG,SG,BOERSE STUTTGART
1985,MASCO (MSQ.SG),MSQ.SG,MSQ.SG,SG,BOERSE STUTTGART
1986,METSA BOARD -B- (MSRB.SG),MSRB.SG,MSRB.SG,SG,BOERSE STUTTGART
1987,Lyxor ETF FTSE EPRA/NAREITAsiaexJpD$ A/I,MT7.SG,MT7.SG,SG,BOERSE STUTTGART
1988,ArcelorMittal,MTA.SG,MTA.SG,SG,BOERSE STUTTGART
1989,MITRABAHTERA (MTI.SG),MTI.SG,MTI.SG,SG,BOERSE STUTTGART
1990,MOTOROLA SOLTN (MTLA.SG),MTLA.SG,MTLA.SG,SG,BOERSE STUTTGART
1991,METTLER TOLEDO INTL (MTO.SG),MTO.SG,MTO.SG,SG,BOERSE STUTTGART
1992,MITSUI & CO (MTS1.SG),MTS1.SG,MTS1.SG,SG,BOERSE STUTTGART
1993,MATTEL (MTT.SG),MTT.SG,MTT.SG,SG,BOERSE STUTTGART
1994,MTU AERO ENGINES N (MTX.SG),MTX.SG,MTX.SG,SG,BOERSE STUTTGART
1995,MUEHLBAUER HOLDING  (MUB.SG),MUB.SG,MUB.SG,SG,BOERSE STUTTGART
1996,MENSCH UND MASCHINE (MUM.SG),MUM.SG,MUM.SG,SG,BOERSE STUTTGART
1997,MURATA MFG (MUR1.SG),MUR1.SG,MUR1.SG,SG,BOERSE STUTTGART
1998,M & S ELEKTRONIK (MUS.SG),MUS.SG,MUS.SG,SG,BOERSE STUTTGART
1999,MINERALUEBERK (MUT.SG),MUT.SG,MUT.SG,SG,BOERSE STUTTGART
2000,MUENCH RUECKVERS N (MUV2.SG),MUV2.SG,MUV2.SG,SG,BOERSE STUTTGART
2001,MINCOR RESOURCES (MV3.SG),MV3.SG,MV3.SG,SG,BOERSE STUTTGART
2002,AMERICA MOVIL-L (MV9.SG),MV9.SG,MV9.SG,SG,BOERSE STUTTGART
2003,MICROVISION (MVIN.SG),MVIN.SG,MVIN.SG,SG,BOERSE STUTTGART
2004,MARVELL TECH GROUP  (MVL.SG),MVL.SG,MVL.SG,SG,BOERSE STUTTGART
2005,MEDIVIR -B- (MVR.SG),MVR.SG,MVR.SG,SG,BOERSE STUTTGART
2006,MVV ENERGIE N (MVV1.SG),MVV1.SG,MVV1.SG,SG,BOERSE STUTTGART
2007,MWB FAIRTRADE WPH (MWB.SG),MWB.SG,MWB.SG,SG,BOERSE STUTTGART
2008,MEWAH INTL (MWX.SG),MWX.SG,MWX.SG,SG,BOERSE STUTTGART
2009,METLIFE (MWZ.SG),MWZ.SG,MWZ.SG,SG,BOERSE STUTTGART
2010,CME GROUP-A (MX4A.SG),MX4A.SG,MX4A.SG,SG,BOERSE STUTTGART
2011,MELCO INTL DEVT (MX7A.SG),MX7A.SG,MX7A.SG,SG,BOERSE STUTTGART
2012,MIN XIN HOLDINGS (MXD.SG),MXD.SG,MXD.SG,SG,BOERSE STUTTGART
2013,MAXIM INTEGR PROD (MXI.SG),MXI.SG,MXI.SG,SG,BOERSE STUTTGART
2014,MIXI (MXN.SG),MXN.SG,MXN.SG,SG,BOERSE STUTTGART
2015,MAWSON RES (MXR.SG),MXR.SG,MXR.SG,SG,BOERSE STUTTGART
2016,MAKEMYTRIP (MY1.SG),MY1.SG,MY1.SG,SG,BOERSE STUTTGART
2017,MASTEC (MY8.SG),MY8.SG,MY8.SG,SG,BOERSE STUTTGART
2018,MYRIAD GENETICS (MYD.SG),MYD.SG,MYD.SG,SG,BOERSE STUTTGART
2019,MYTILINEOS  (MYH.SG),MYH.SG,MYH.SG,SG,BOERSE STUTTGART
2020,MAYR-MELNHOF KARTON (MYM.SG),MYM.SG,MYM.SG,SG,BOERSE STUTTGART
2021,MIZUHO FIN GROUP (MZ8.SG),MZ8.SG,MZ8.SG,SG,BOERSE STUTTGART
2022,MAZDA MOTOR CORP (MZA.SG),MZA.SG,MZA.SG,SG,BOERSE STUTTGART
2023,MORRISON SUPERMKTS (MZP.SG),MZP.SG,MZP.SG,SG,BOERSE STUTTGART
2024,MASTERFLEX  (MZX.SG),MZX.SG,MZX.SG,SG,BOERSE STUTTGART
2025,NORDIC SEMICONDUCTO (N0S.SG),N0S.SG,N0S.SG,SG,BOERSE STUTTGART
2026,NOVATEK SPGDR REG-S (N1O.SG),N1O.SG,N1O.SG,SG,BOERSE STUTTGART
2027,NANOFOCUS (N2F.SG),N2F.SG,N2F.SG,SG,BOERSE STUTTGART
2028,NEO-NEON HLDGS (N2L.SG),N2L.SG,N2L.SG,SG,BOERSE STUTTGART
2029,WIN HANVERKY (N2R.SG),N2R.SG,N2R.SG,SG,BOERSE STUTTGART
2030,NINE DRAGONS PAPER (N3Y.SG),N3Y.SG,N3Y.SG,SG,BOERSE STUTTGART
2031,NORTH AMERICAN ENER (N5Z.SG),N5Z.SG,N5Z.SG,SG,BOERSE STUTTGART
2032,Natural Cool Holdings Limited,N7E.SG,N7E.SG,SG,BOERSE STUTTGART
2033,NANOGATE (N7G.SG),N7G.SG,N7G.SG,SG,BOERSE STUTTGART
2034,NEW VALUE REG (N7V.SG),N7V.SG,N7V.SG,SG,BOERSE STUTTGART
2035,UMS Holdings Limited,N8U.SG,N8U.SG,SG,BOERSE STUTTGART
2036,BANNAM HLDG (N9B.SG),N9B.SG,N9B.SG,SG,BOERSE STUTTGART
2037,NAGACORP (N9J.SG),N9J.SG,N9J.SG,SG,BOERSE STUTTGART
2038,NORTHERN SHIELD RES (N9S.SG),N9S.SG,N9S.SG,SG,BOERSE STUTTGART
2039,Kids Brands House N.V,N9VA.SG,N9VA.SG,SG,BOERSE STUTTGART
2040,NAT ALTERN INTL (NA2.SG),NA2.SG,NA2.SG,SG,BOERSE STUTTGART
2041,NIC (NAI.SG),NAI.SG,NAI.SG,SG,BOERSE STUTTGART
2042,NATIONAL AUSTRAL BK (NAL.SG),NAL.SG,NAL.SG,SG,BOERSE STUTTGART
2043,NASDAQ (NAQ.SG),NAQ.SG,NAQ.SG,SG,BOERSE STUTTGART
2044,NITTO BOSEKI (NB5.SG),NB5.SG,NB5.SG,SG,BOERSE STUTTGART
2045,NOBLE ENERGY (NB6.SG),NB6.SG,NB6.SG,SG,BOERSE STUTTGART
2046,DNB (NBA.SG),NBA.SG,NBA.SG,SG,BOERSE STUTTGART
2047,NATL BK CANADA (NBC.SG),NBC.SG,NBC.SG,SG,BOERSE STUTTGART
2048,Nolato AB (publ),NBFB.SG,NBFB.SG,SG,BOERSE STUTTGART
2049,NUERNB BETLG -B- (NBG6.SG),NBG6.SG,NBG6.SG,SG,BOERSE STUTTGART
2050,NATIXIS (NBP.SG),NBP.SG,NBP.SG,SG,BOERSE STUTTGART
2051,NEWS-A (NC0.SG),NC0.SG,NC0.SG,SG,BOERSE STUTTGART
2052,NEWS-B (NC0B.SG),NC0B.SG,NC0B.SG,SG,BOERSE STUTTGART
2053,CNOOC (NC2B.SG),NC2B.SG,NC2B.SG,SG,BOERSE STUTTGART
2054,BANK OF AMERICA (NCB.SG),NCB.SG,NCB.SG,SG,BOERSE STUTTGART
2055,NCC -B- (NCGB.SG),NCGB.SG,NCGB.SG,SG,BOERSE STUTTGART
2056,NEW CN LIFE INS -H- (NCL.SG),NCL.SG,NCL.SG,SG,BOERSE STUTTGART
2057,NEDBANK GROUP (NCO.SG),NCO.SG,NCO.SG,SG,BOERSE STUTTGART
2058,NCR CORP (NCR1.SG),NCR1.SG,NCR1.SG,SG,BOERSE STUTTGART
2059,TELE2 -B- (NCYD.SG),NCYD.SG,NCYD.SG,SG,BOERSE STUTTGART
2060,N/N DYNASTY MINERAL (ND3.SG),ND3.SG,ND3.SG,SG,BOERSE STUTTGART
2061,AURUBIS (NDA.SG),NDA.SG,NDA.SG,SG,BOERSE STUTTGART
2062,METALL ZUG N -B- (NDH1.SG),NDH1.SG,NDH1.SG,SG,BOERSE STUTTGART
2063,NORDEX (NDX1.SG),NDX1.SG,NDX1.SG,SG,BOERSE STUTTGART
2064,NEDAP (NE3.SG),NE3.SG,NE3.SG,SG,BOERSE STUTTGART
2065,NEURONES  (NE9.SG),NE9.SG,NE9.SG,SG,BOERSE STUTTGART
2066,NEC (NEC1.SG),NEC1.SG,NEC1.SG,SG,BOERSE STUTTGART
2067,NETEASE SP ADR (NEH.SG),NEH.SG,NEH.SG,SG,BOERSE STUTTGART
2068,NEMETSCHEK (NEM.SG),NEM.SG,NEM.SG,SG,BOERSE STUTTGART
2069,RENESAS ELECTRO (NEN.SG),NEN.SG,NEN.SG,SG,BOERSE STUTTGART
2070,NEOPOST (NEQ.SG),NEQ.SG,NEQ.SG,SG,BOERSE STUTTGART
2071,NESTLE N (NESR.SG),NESR.SG,NESR.SG,SG,BOERSE STUTTGART
2072,NIPPON EXPRESS (NEX.SG),NEX.SG,NEX.SG,SG,BOERSE STUTTGART
2073,NISSIN FOODS HLDGS (NF2.SG),NF2.SG,NF2.SG,SG,BOERSE STUTTGART
2074,NETFLIX (NFC.SG),NFC.SG,NFC.SG,SG,BOERSE STUTTGART
2075,NATL FUEL GAS CO (NFG.SG),NFG.SG,NFG.SG,SG,BOERSE STUTTGART
2076,NORFOLK SOUTHERN (NFS.SG),NFS.SG,NFS.SG,SG,BOERSE STUTTGART
2077,NICHIIGAKKAN (NG4.SG),NG4.SG,NG4.SG,SG,BOERSE STUTTGART
2078,NGK INSULATORS (NGI.SG),NGI.SG,NGI.SG,SG,BOERSE STUTTGART
2079,NETGEAR (NGJ.SG),NGJ.SG,NGJ.SG,SG,BOERSE STUTTGART
2080,NGK SPARK PLUG (NGK.SG),NGK.SG,NGK.SG,SG,BOERSE STUTTGART
2081,ANGLO AMERICAN (NGLB.SG),NGLB.SG,NGLB.SG,SG,BOERSE STUTTGART
2082,NETGEM (NGP.SG),NGP.SG,NGP.SG,SG,BOERSE STUTTGART
2083,NOVAGOLD RESOURCES (NGR.SG),NGR.SG,NGR.SG,SG,BOERSE STUTTGART
2084,NH HOTEL GROUP (NH5.SG),NH5.SG,NH5.SG,SG,BOERSE STUTTGART
2085,Netcare Limited,NH7.SG,NH7.SG,SG,BOERSE STUTTGART
2086,NHK SPRING (NHK.SG),NHK.SG,NHK.SG,SG,BOERSE STUTTGART
2087,NIPPON SHEET GLASS (NI9.SG),NI9.SG,NI9.SG,SG,BOERSE STUTTGART
2088,NISSAN MOTOR CO LTD (NISA.SG),NISA.SG,NISA.SG,SG,BOERSE STUTTGART
2089,NET 1 UEPS TECH (NJPA.SG),NJPA.SG,NJPA.SG,SG,BOERSE STUTTGART
2090,DNO -A- (NK1A.SG),NK1A.SG,NK1A.SG,SG,BOERSE STUTTGART
2091,"NuVasive, Inc. (NK8.SG)",NK8.SG,NK8.SG,SG,BOERSE STUTTGART
2092,NIKE -B- (NKE.SG),NKE.SG,NKE.SG,SG,BOERSE STUTTGART
2093,NIKON CORP (NKN.SG),NKN.SG,NKN.SG,SG,BOERSE STUTTGART
2094,BANK CIMB NIAGA -A- (NKX.SG),NKX.SG,NKX.SG,SG,BOERSE STUTTGART
2095,FROSTA  (NLM.SG),NLM.SG,NLM.SG,SG,BOERSE STUTTGART
2096,NEWCREST MINING (NMA.SG),NMA.SG,NMA.SG,SG,BOERSE STUTTGART
2097,NEWMONT MINING (NMM.SG),NMM.SG,NMM.SG,SG,BOERSE STUTTGART
2098,NOVA MEASURING INTR (NMR.SG),NMR.SG,NMR.SG,SG,BOERSE STUTTGART
2099,PRESIDENT ENER (NNH1.SG),NNH1.SG,NNH1.SG,SG,BOERSE STUTTGART
2100,NJ PANDA -H- (NNJ.SG),NNJ.SG,NNJ.SG,SG,BOERSE STUTTGART
2101,NASPERS -N- (NNW.SG),NNW.SG,NNW.SG,SG,BOERSE STUTTGART
2102,NAVIDEA BIOPHAR (NO1.SG),NO1.SG,NO1.SG,SG,BOERSE STUTTGART
2103,NATL OILWELL VARCO (NO8.SG),NO8.SG,NO8.SG,SG,BOERSE STUTTGART
2104,NOKIA (NOA3.SG),NOA3.SG,NOA3.SG,SG,BOERSE STUTTGART
2105,NORSK HYDRO (NOH1.SG),NOH1.SG,NOH1.SG,SG,BOERSE STUTTGART
2106,NOVARTIS N (NOT.SG),NOT.SG,NOT.SG,SG,BOERSE STUTTGART
2107,NISOURCE (NOU.SG),NOU.SG,NOU.SG,SG,BOERSE STUTTGART
2108,NP STL & S'TOMO (NPS.SG),NPS.SG,NPS.SG,SG,BOERSE STUTTGART
2109,SMITH & NEPHEW  (NPW1.SG),NPW1.SG,NPW1.SG,SG,BOERSE STUTTGART
2110,NORONT RESOURCES (NQ1.SG),NQ1.SG,NQ1.SG,SG,BOERSE STUTTGART
2111,NEXITY -A- (NQ9.SG),NQ9.SG,NQ9.SG,SG,BOERSE STUTTGART
2112,MONOLITHIC POWER (NQG.SG),NQG.SG,NQG.SG,SG,BOERSE STUTTGART
2113,BIDVEST (NQL1.SG),NQL1.SG,NQL1.SG,SG,BOERSE STUTTGART
2114,NOMURA RESEARCH (NR7.SG),NR7.SG,NR7.SG,SG,BOERSE STUTTGART
2115,NRG ENERGY (NRA.SG),NRA.SG,NRA.SG,SG,BOERSE STUTTGART
2116,NORDSTROM (NRD.SG),NRD.SG,NRD.SG,SG,BOERSE STUTTGART
2117,NOKIAN TYRES (NRE.SG),NRE.SG,NRE.SG,SG,BOERSE STUTTGART
2118,XCEL ENERGY  (NRN.SG),NRN.SG,NRN.SG,SG,BOERSE STUTTGART
2119,Northern Star Resources Limited,NS7.SG,NS7.SG,SG,BOERSE STUTTGART
2120,NETSOL TECH (NS9B.SG),NS9B.SG,NS9B.SG,SG,BOERSE STUTTGART
2121,NOMURA HLDG (NSE.SG),NSE.SG,NSE.SG,SG,BOERSE STUTTGART
2122,NET INSIGHT -B- (NSGB.SG),NSGB.SG,NSGB.SG,SG,BOERSE STUTTGART
2123,NSK LTD (NSK.SG),NSK.SG,NSK.SG,SG,BOERSE STUTTGART
2124,NESCHEN (NSN.SG),NSN.SG,NSN.SG,SG,BOERSE STUTTGART
2125,NORDD STEINGUT (NST.SG),NST.SG,NST.SG,SG,BOERSE STUTTGART
2126,AUDI (NSU.SG),NSU.SG,NSU.SG,SG,BOERSE STUTTGART
2127,NAM TAI PROPERTY (NT1.SG),NT1.SG,NT1.SG,SG,BOERSE STUTTGART
2128,NORTHERN TRUST (NT4.SG),NT4.SG,NT4.SG,SG,BOERSE STUTTGART
2129,NETAPP (NTA.SG),NTA.SG,NTA.SG,SG,BOERSE STUTTGART
2130,NABALTEC (NTG.SG),NTG.SG,NTG.SG,SG,BOERSE STUTTGART
2131,NORTHROP GRUMMAN (NTH.SG),NTH.SG,NTH.SG,SG,BOERSE STUTTGART
2132,NINTENDO CO LTD (NTO.SG),NTO.SG,NTO.SG,SG,BOERSE STUTTGART
2133,SPECTRUM PHARMACTLS (NTR.SG),NTR.SG,NTR.SG,SG,BOERSE STUTTGART
2134,NIPPON TEL&TEL (NTT.SG),NTT.SG,NTT.SG,SG,BOERSE STUTTGART
2135,NUCLETRON ELECTR (NUC.SG),NUC.SG,NUC.SG,SG,BOERSE STUTTGART
2136,NUFARM (NUF.SG),NUF.SG,NUF.SG,SG,BOERSE STUTTGART
2137,Northern Minerals Limited,NUN.SG,NUN.SG,SG,BOERSE STUTTGART
2138,NUCOR (NUO.SG),NUO.SG,NUO.SG,SG,BOERSE STUTTGART
2139,Navigator Equity Solutions SE,NUQA.SG,NUQA.SG,SG,BOERSE STUTTGART
2140,NU SKIN ENTERPR-A (NUS.SG),NUS.SG,NUS.SG,SG,BOERSE STUTTGART
2141,ADVANCED INF SERV(ADVANC),NVAA.SG,NVAA.SG,SG,BOERSE STUTTGART
2142,BANGKOK BANK NVDR (NVAB.SG),NVAB.SG,NVAB.SG,SG,BOERSE STUTTGART
2143,Novae Group Plc,NVAL.SG,NVAL.SG,SG,BOERSE STUTTGART
2144,KASIKORNBANK NVDR (NVAR.SG),NVAR.SG,NVAR.SG,SG,BOERSE STUTTGART
2145,NVIDIA (NVD.SG),NVD.SG,NVD.SG,SG,BOERSE STUTTGART
2146,NVR (NVE.SG),NVE.SG,NVE.SG,SG,BOERSE STUTTGART
2147,NVE (NVK.SG),NVK.SG,NVK.SG,SG,BOERSE STUTTGART
2148,Berli Jucker Public Company Limited,NVP8.SG,NVP8.SG,SG,BOERSE STUTTGART
2149,NORWEGIAN AIR SHUT (NWC.SG),NWC.SG,NWC.SG,SG,BOERSE STUTTGART
2150,NEW WORLD DEV (NWD.SG),NWD.SG,NWD.SG,SG,BOERSE STUTTGART
2151,Western Forest Products Inc,NWF.SG,NWF.SG,SG,BOERSE STUTTGART
2152,NEW WAVE -B- (NWG.SG),NWG.SG,NWG.SG,SG,BOERSE STUTTGART
2153,NEW WORLD DEPT CHIN (NWM.SG),NWM.SG,NWM.SG,SG,BOERSE STUTTGART
2154,NEWPARK RESOURCES (NWP.SG),NWP.SG,NWP.SG,SG,BOERSE STUTTGART
2155,WELLS FARGO (NWT.SG),NWT.SG,NWT.SG,SG,BOERSE STUTTGART
2156,MONGOLIA ENERGY (NWW2.SG),NWW2.SG,NWW2.SG,SG,BOERSE STUTTGART
2157,NORDWEST HANDEL (NWX.SG),NWX.SG,NWX.SG,SG,BOERSE STUTTGART
2158,NEXT (NXG.SG),NXG.SG,NXG.SG,SG,BOERSE STUTTGART
2159,NEXANS (NXS.SG),NXS.SG,NXS.SG,SG,BOERSE STUTTGART
2160,NEXUS (NXU.SG),NXU.SG,NXU.SG,SG,BOERSE STUTTGART
2161,"China Natural Resources, Inc",NY6.SG,NY6.SG,SG,BOERSE STUTTGART
2162,Molson Coors Beverage Company,NY7.SG,NY7.SG,SG,BOERSE STUTTGART
2163,POSEIDON NICKEL (NYG1.SG),NYG1.SG,NYG1.SG,SG,BOERSE STUTTGART
2164,NEW YORK TIMES -A- (NYT.SG),NYT.SG,NYT.SG,SG,BOERSE STUTTGART
2165,QUALITY HSES NVDR (NYVH.SG),NYVH.SG,NYVH.SG,SG,BOERSE STUTTGART
2166,Novozymes A/S,NZM2.SG,NZM2.SG,SG,BOERSE STUTTGART
2167,SPARK NEW (NZT.SG),NZT.SG,NZT.SG,SG,BOERSE STUTTGART
2168,Spark New Zealand Limited,NZTA.SG,NZTA.SG,SG,BOERSE STUTTGART
2169,Otto Energy Limited,O1E.SG,O1E.SG,SG,BOERSE STUTTGART
2170,C.A.T. OIL (O2C.SG),O2C.SG,O2C.SG,SG,BOERSE STUTTGART
2171,QAF Limited,O2H.SG,O2H.SG,SG,BOERSE STUTTGART
2172,Raffles Education Corporation Limited,O2KC.SG,O2KC.SG,SG,BOERSE STUTTGART
2173,YOMA STRATEGIC HLDG (O3B.SG),O3B.SG,O3B.SG,SG,BOERSE STUTTGART
2174,SIA Engineering Company Limited,O3H.SG,O3H.SG,SG,BOERSE STUTTGART
2175,OESTERREICH POST (O3P.SG),O3P.SG,O3P.SG,SG,BOERSE STUTTGART
2176,OVB HOLDING (O4B.SG),O4B.SG,O4B.SG,SG,BOERSE STUTTGART
2177,OPENLIMIT HLDG (O5H.SG),O5H.SG,O5H.SG,SG,BOERSE STUTTGART
2178,Olam International Limited (O5I,O5I.SG,O5I.SG,SG,BOERSE STUTTGART
2179,FAR EAST ORCHARD (O5P.SG),O5P.SG,O5P.SG,SG,BOERSE STUTTGART
2180,ORVANA MINERALS (O6M.SG),O6M.SG,O6M.SG,SG,BOERSE STUTTGART
2181,SANTA FE GROUP (OA4.SG),OA4.SG,OA4.SG,SG,BOERSE STUTTGART
2182,POWER METALS,OAA1.SG,OAA1.SG,SG,BOERSE STUTTGART
2183,OBTALA RES (OB7.SG),OB7.SG,OB7.SG,SG,BOERSE STUTTGART
2184,OBAYASHI (OBA.SG),OBA.SG,OBA.SG,SG,BOERSE STUTTGART
2185,OCEAN BIO-CHEM (OBC.SG),OBC.SG,OBC.SG,SG,BOERSE STUTTGART
2186,OBDUCAT -B- (OBD.SG),OBD.SG,OBD.SG,SG,BOERSE STUTTGART
2187,OC OERLIKON N (OBH.SG),OBH.SG,OBH.SG,SG,BOERSE STUTTGART
2188,Oberbank AG,OBK.SG,OBK.SG,SG,BOERSE STUTTGART
2189,ORBIS  (OBS.SG),OBS.SG,OBS.SG,SG,BOERSE STUTTGART
2190,COCHLEAR (OC5.SG),OC5.SG,OC5.SG,SG,BOERSE STUTTGART
2191,OCBC (OCBA.SG),OCBA.SG,OCBA.SG,SG,BOERSE STUTTGART
2192,ACS (OCI1.SG),OCI1.SG,OCI1.SG,SG,BOERSE STUTTGART
2193,ORACLE JAPAN (OCJ.SG),OCJ.SG,OCJ.SG,SG,BOERSE STUTTGART
2194,HUDBAY MINERALS (OCKA.SG),OCKA.SG,OCKA.SG,SG,BOERSE STUTTGART
2195,EURONAV (OCW.SG),OCW.SG,OCW.SG,SG,BOERSE STUTTGART
2196,NEW HOPE CORPN (OD8.SG),OD8.SG,OD8.SG,SG,BOERSE STUTTGART
2197,ODEON FILM (ODE.SG),ODE.SG,ODE.SG,SG,BOERSE STUTTGART
2198,OFFICE DEPOT (ODP.SG),ODP.SG,ODP.SG,SG,BOERSE STUTTGART
2199,NEW OROPERU RES (OE6.SG),OE6.SG,OE6.SG,SG,BOERSE STUTTGART
2200,TomTom N.V,OEMA.SG,OEMA.SG,SG,BOERSE STUTTGART
2201,VERBUND (OEWA.SG),OEWA.SG,OEWA.SG,SG,BOERSE STUTTGART
2202,OREZONE GOLD (OEX.SG),OEX.SG,OEX.SG,SG,BOERSE STUTTGART
2203,Avecho Biotechnology Limited,OEZ.SG,OEZ.SG,SG,BOERSE STUTTGART
2204,OHB  (OHB.SG),OHB.SG,OHB.SG,SG,BOERSE STUTTGART
2205,CLAS OHLSON -B- (OHCB.SG),OHCB.SG,OHCB.SG,SG,BOERSE STUTTGART
2206,COHERIS (OHE.SG),OHE.SG,OHE.SG,SG,BOERSE STUTTGART
2207,PERSIMMON PLC (OHP.SG),OHP.SG,OHP.SG,SG,BOERSE STUTTGART
2208,OMNIA HOLD (OHZ.SG),OHZ.SG,OHZ.SG,SG,BOERSE STUTTGART
2209,OIL STATES INTL (OI2.SG),OI2.SG,OI2.SG,SG,BOERSE STUTTGART
2210,OCEANEERING INTL (OII.SG),OII.SG,OII.SG,SG,BOERSE STUTTGART
2211,OPTION (OINA.SG),OINA.SG,OINA.SG,SG,BOERSE STUTTGART
2212,ORIX CORP (OIX.SG),OIX.SG,OIX.SG,SG,BOERSE STUTTGART
2213,ROSNFT SP GDR-REG-S (OJS1.SG),OJS1.SG,OJS1.SG,SG,BOERSE STUTTGART
2214,ORAMED (OJU1.SG),OJU1.SG,OJU1.SG,SG,BOERSE STUTTGART
2215,OSHKOSH (OK3.SG),OK3.SG,OK3.SG,SG,BOERSE STUTTGART
2216,OKI ELECTRIC (OKI.SG),OKI.SG,OKI.SG,SG,BOERSE STUTTGART
2217,ORKLA (OKL.SG),OKL.SG,OKL.SG,SG,BOERSE STUTTGART
2218,Colas SA,OL3.SG,OL3.SG,SG,BOERSE STUTTGART
2219,SHUI ON LAND (OL5.SG),OL5.SG,OL5.SG,SG,BOERSE STUTTGART
2220,CRACKER BARREL OLD (OLD.SG),OLD.SG,OLD.SG,SG,BOERSE STUTTGART
2221,SAINT-GOBAIN OBERL. (OLG.SG),OLG.SG,OLG.SG,SG,BOERSE STUTTGART
2222,FIRST BANCORP (OLWN.SG),OLWN.SG,OLWN.SG,SG,BOERSE STUTTGART
2223,Oilex Ltd,OLX.SG,OLX.SG,SG,BOERSE STUTTGART
2224,OLYMPUS (OLY1.SG),OLY1.SG,OLY1.SG,SG,BOERSE STUTTGART
2225,O REILLY AUTO (OM6.SG),OM6.SG,OM6.SG,SG,BOERSE STUTTGART
2226,OMV  (OMV.SG),OMV.SG,OMV.SG,SG,BOERSE STUTTGART
2227,ONEX CORP (ONE.SG),ONE.SG,ONE.SG,SG,BOERSE STUTTGART
2228,ONEOK (ONK.SG),ONK.SG,ONK.SG,SG,BOERSE STUTTGART
2229,ORPEA (OPA.SG),OPA.SG,OPA.SG,SG,BOERSE STUTTGART
2230,OPG POWER VENTURES (OPB.SG),OPB.SG,OPB.SG,SG,BOERSE STUTTGART
2231,OCCID.PETROL CORP (OPC.SG),OPC.SG,OPC.SG,SG,BOERSE STUTTGART
2232,ORIENTAL PRESS GRP (OPQ.SG),OPQ.SG,OPQ.SG,SG,BOERSE STUTTGART
2233,OROCO RESOURCE (OR6.SG),OR6.SG,OR6.SG,SG,BOERSE STUTTGART
2234,SOPRA STERIA GROUP (OR8.SG),OR8.SG,OR8.SG,SG,BOERSE STUTTGART
2235,ORDINA (ORA.SG),ORA.SG,ORA.SG,SG,BOERSE STUTTGART
2236,ORACLE (ORC.SG),ORC.SG,ORC.SG,SG,BOERSE STUTTGART
2237,CHINA ORIENTAL GRP (ORG.SG),ORG.SG,ORG.SG,SG,BOERSE STUTTGART
2238,ORIENT OVS (INTL) (ORI1.SG),ORI1.SG,ORI1.SG,SG,BOERSE STUTTGART
2239,OLD REPUBLIC INTL CORP,ORJ.SG,ORJ.SG,SG,BOERSE STUTTGART
2240,ORIGIN ENERGY (ORL.SG),ORL.SG,ORL.SG,SG,BOERSE STUTTGART
2241,SIHAYO GOLD (ORY.SG),ORY.SG,ORY.SG,SG,BOERSE STUTTGART
2242,OTSUKA HLDGS (OS1.SG),OS1.SG,OS1.SG,SG,BOERSE STUTTGART
2243,OSI SYSTEMS (OS2.SG),OS2.SG,OS2.SG,SG,BOERSE STUTTGART
2244,OPERA SOFTWARE (OS3.SG),OS3.SG,OS3.SG,SG,BOERSE STUTTGART
2245,OASIS PETRLM (OS7.SG),OS7.SG,OS7.SG,SG,BOERSE STUTTGART
2246,SORIANA-B (OSOB.SG),OSOB.SG,OSOB.SG,SG,BOERSE STUTTGART
2247,USU SOFTWARE (OSP2.SG),OSP2.SG,OSP2.SG,SG,BOERSE STUTTGART
2248,BAKRIE SUMATERA PL (OSW.SG),OSW.SG,OSW.SG,SG,BOERSE STUTTGART
2249,SYNACOR (OSY.SG),OSY.SG,OSY.SG,SG,BOERSE STUTTGART
2250,ON TRACK INNOV. (OT5.SG),OT5.SG,OT5.SG,SG,BOERSE STUTTGART
2251,HELLENIC TELECOM (OTE.SG),OTE.SG,OTE.SG,SG,BOERSE STUTTGART
2252,OTP BANK (OTP.SG),OTP.SG,OTP.SG,SG,BOERSE STUTTGART
2253,OPEN TEXT (OTX.SG),OTX.SG,OTX.SG,SG,BOERSE STUTTGART
2254,Avalon Advanced Materials Inc,OU5.SG,OU5.SG,SG,BOERSE STUTTGART
2255,BEAR CREEK MINING (OU6.SG),OU6.SG,OU6.SG,SG,BOERSE STUTTGART
2256,OUE (OUE1.SG),OUE1.SG,OUE1.SG,SG,BOERSE STUTTGART
2257,"CardioComm Solutions, Inc",OUGA.SG,OUGA.SG,SG,BOERSE STUTTGART
2258,OUTOKUMPU (OUTA.SG),OUTA.SG,OUTA.SG,SG,BOERSE STUTTGART
2259,CAPSTONE MINING (OUW.SG),OUW.SG,OUW.SG,SG,BOERSE STUTTGART
2260,OLVI -A- (OVI.SG),OVI.SG,OVI.SG,SG,BOERSE STUTTGART
2261,OVOCA GOLD (OVXA.SG),OVXA.SG,OVXA.SG,SG,BOERSE STUTTGART
2262,ZH INTERNATIONAL (OVZ3.SG),OVZ3.SG,OVZ3.SG,SG,BOERSE STUTTGART
2263,Oi Wah Pawnshop Credit Holdings Limited,OWH.SG,OWH.SG,SG,BOERSE STUTTGART
2264,YPSOMED HLDG N (OWX.SG),OWX.SG,OWX.SG,SG,BOERSE STUTTGART
